Title,Title_link,rev_wrap,Field1,Field2,Field2_link,Field3
,,,,,,
"Great food, slightly odd queueing system",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r380450069-Tibits-London_England.html,Date of visit: May 2016,"Visited with a friend - great range of foods on offer, the only downside was the slightly odd & inefficient queueing / paying arrangement, but the food itself was fabulous! Highly recommended on that front.","Great food, slightly odd queueing system",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r380450069-Tibits-London_England.html,"Visited with a friend - great range of foods on offer, the only downside was the slightly odd & inefficient queueing / paying arrangement, but the food itself was fabulous! Highly recommended on that front."
Lovely Healthy Food in the Heart of London,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r380375334-Tibits-London_England.html,Date of visit: June 2016,"This is a nice vegan/vegetarian eatery off Regent Street, in a lovely quiet (traffic-free!) street with a few other cafés and restaurants nearby.   There are tables inside and out, and we sat on the latter, as it was a lovely day. 

The restaurant is set...More",Lovely Healthy Food in the Heart of London,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r380375334-Tibits-London_England.html,"This is a nice vegan/vegetarian eatery off Regent Street, in a lovely quiet (traffic-free!) street with a few other cafés and restaurants nearby. There are tables inside and out, and we sat on the latter, as it was a lovely day. The restaurant is set up as a buffet, where one chooses one's dishes, and then one pays depending on weight. The food is wholesome, relatively simple fare, but quite delicious. We are vegan so stuck to things like rocket salad, humous, potato wedges, olives. We also had hot salsa, and a rather nice vegan korma. The food is filling, and there is no shortage of choice. I had an organic beer which was quite delightful, and my wife settled for a diet coke. My second beer was a bit flat, and they immediately offered me another one, no questions asked. All in, a very nice experience. They only accept bookings for four people or more, as they can virtually guarantee a seat if you're two. People, that is. Not years. Highly recommended."
Excellent if you have allergies,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r380192637-Tibits-London_England.html,Date of visit: April 2016,"The restaurant is laid out buffet style, so you can see all the dishes on offer. Everything is very clearly labelled, so if you have any food allergies it's very easy to pick dishes. Great for vegans and vegetarians.More",Excellent if you have allergies,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r380192637-Tibits-London_England.html,"The restaurant is laid out buffet style, so you can see all the dishes on offer. Everything is very clearly labelled, so if you have any food allergies it's very easy to pick dishes. Great for vegans and vegetarians."
"great food ,interesting concept",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r380000205-Tibits-London_England.html,Date of visit: June 2016,I visited Tibits in Zurich and eat there New Years Eve. Really enjoyed the good selection of vegetarian and vegan food. Please to see that there is also one in London which I visited for lunch. Good value and as it is a buffet style....More,"great food ,interesting concept",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r380000205-Tibits-London_England.html,I visited Tibits in Zurich and eat there New Years Eve. Really enjoyed the good selection of vegetarian and vegan food. Please to see that there is also one in London which I visited for lunch. Good value and as it is a buffet style. Also in the interesting Heddon St.
Great Group event,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r379941451-Tibits-London_England.html,Date of visit: June 2016,"Group get together was very easily arranged at Tibits with the people at Tibits happy to help.

Food as always was excellent and I recommend the Boat menu - which allows you to have a main meal, a drink etc for a fixed price.",Great Group event,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r379941451-Tibits-London_England.html,"Group get together was very easily arranged at Tibits with the people at Tibits happy to help.Food as always was excellent and I recommend the Boat menu - which allows you to have a main meal, a drink etc for a fixed price."
Bliss being able to eat everything!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r379926275-Tibits-London_England.html,Date of visit: June 2016,"All the food was fresh and tasty, lots of choice, all veggie so no wondering if you can eat it, you pay by weight so if you are peckish you just pay for a what you want to pile your plate up and pay for...More",Bliss being able to eat everything!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r379926275-Tibits-London_England.html,"All the food was fresh and tasty, lots of choice, all veggie so no wondering if you can eat it, you pay by weight so if you are peckish you just pay for a what you want to pile your plate up and pay for that! Average cost of a full plate £10 to £12. Staff were friendly and the setting was lovely, we made the most of the weather and sat outside. Loved it, would definitely go again."
Excellent Veggie and vegan cuisine in central London,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r379407359-Tibits-London_England.html,Date of visit: June 2016,We stopped at Tibits just off Regents street for 'Brunch'. The restaurant is in a quiet area and has ample seating inside and out. You have the option to have a takeout. The food and drink is buffet style and the chefs were topping up...More,Excellent Veggie and vegan cuisine in central London,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r379407359-Tibits-London_England.html,We stopped at Tibits just off Regents street for 'Brunch'. The restaurant is in a quiet area and has ample seating inside and out. You have the option to have a takeout. The food and drink is buffet style and the chefs were topping up with fresh items all the time we were there. The atmosphere was relaxed and decor modern and smart.
Fantastic Vegetarian Food from Switzerland,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r378412029-Tibits-London_England.html,Date of visit: January 2016,"Tibits is a restaurant concept from Switzerland, blending seamlessly into Mayfair's trendy gastro-scene. All Tibits food is vegetarian or vegan but the abundance of fresh, colorful and delicious choices at the buffet make you forget all about meat. The restaurant is very stylish and a...More",Fantastic Vegetarian Food from Switzerland,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r378412029-Tibits-London_England.html,"Tibits is a restaurant concept from Switzerland, blending seamlessly into Mayfair's trendy gastro-scene. All Tibits food is vegetarian or vegan but the abundance of fresh, colorful and delicious choices at the buffet make you forget all about meat. The restaurant is very stylish and a great spot to meet with friends. Food and drinks are quite pricey, but Tibits is definitely worth a visit."
My Fave Place to Eat At in England,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r378321456-Tibits-London_England.html,Date of visit: May 2016,"We went on a road trip and drove all through England. This place was my favorite place to eat at in whole of England! They had an extensive buffet with all lot of great vegetarian varieties. There were salads, entrees, appetizers, desserts, breads. Name it...More",My Fave Place to Eat At in England,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r378321456-Tibits-London_England.html,"We went on a road trip and drove all through England. This place was my favorite place to eat at in whole of England! They had an extensive buffet with all lot of great vegetarian varieties. There were salads, entrees, appetizers, desserts, breads. Name it and they had it. Everything was well prepared and truly delicious. The food was charged by weight - so they weighed your plate and that was how much you paid. My only gripe was that the plate was pretty heavy and it did come out to be an expensive meal - but a really delicious, wholesome and variety-filled meal indeed! Would love it if they had one in my hometown here! Also the decor is nice and it's a cute, cozy place."
"Truly love  this place, but can I make a suggestion?!",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r378004153-Tibits-London_England.html,Date of visit: May 2016,"Revisited twice after my first visit,and it is my favourite place in London to meet friends, have a cosy chat in a relaxed, unhurried,friendly atmosphere,but.....I wish Tibits would either offer a fixed price for a plate of food (let's say  £10 or slightly above?)or not...More","Truly love this place, but can I make a suggestion?!",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r378004153-Tibits-London_England.html,"Revisited twice after my first visit,and it is my favourite place in London to meet friends, have a cosy chat in a relaxed, unhurried,friendly atmosphere,but.....I wish Tibits would either offer a fixed price for a plate of food (let's say £10 or slightly above?)or not charge by weight,ie. charge for individual or a set of items. As others have pointed out, if one is really hungry(as I usually am:-),it can become rather expensive to eat there.I would rather know how much I am going to spend before I reach the counter with a plate of food.The hot food can easily go cold very quickly if there is a queue,so perhaps there is a solution for that dilemma too? Would love to have some feedback,thank you!"
,,,,,,
Seems very expensive,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r377556034-Tibits-London_England.html,Date of visit: May 2016,"Too expensive for the food you get, it is self serve buffet place, quite casual hence seems expensive. But the variety is good and vegetarian so overall ok place to go for vegetarians",Seems very expensive,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r377556034-Tibits-London_England.html,"Too expensive for the food you get, it is self serve buffet place, quite casual hence seems expensive. But the variety is good and vegetarian so overall ok place to go for vegetarians"
Fabulous buffet - a bit of everything,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r376233390-Tibits-London_England.html,Date of visit: May 2016,"I just loved the food here! You can find here various salads, pies, falafel, potatoes cooked in different ways, quinoa, lentils, etc. I just listed a few of my favs, but there are many others. They have Asian dishes, Middle Eastern dishes, Italian dishes, Eastern-European...More",Fabulous buffet - a bit of everything,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r376233390-Tibits-London_England.html,"I just loved the food here! You can find here various salads, pies, falafel, potatoes cooked in different ways, quinoa, lentils, etc. I just listed a few of my favs, but there are many others. They have Asian dishes, Middle Eastern dishes, Italian dishes, Eastern-European dishes. I've also noticed the famous toffee pudding in the deserts area. Plus, the price you pay for the food is really good. I totally recommend this place, also for those who are not vegetarians. The friend who was with me was very happy with the food options and she said she will come to eat here again, even though she is not a vegetarian."
Tidbits of delicious foods at Tibits,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r375800131-Tibits-London_England.html,Date of visit: May 2016,The selection of foods to choose from was varied and interesting. We were seated and then told that we could help ourselves to the buffet selection and pay at the bar. Your plate of food is weighed and you are charged accordingly. Everything was fresh...More,Tidbits of delicious foods at Tibits,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r375800131-Tibits-London_England.html,The selection of foods to choose from was varied and interesting. We were seated and then told that we could help ourselves to the buffet selection and pay at the bar. Your plate of food is weighed and you are charged accordingly. Everything was fresh and very tasty. My plate had a rainbow of colour on it and I thoroughly enjoyed savouring all of the food I had chosen.
Possibly one of the best vegetarian buffets ever...,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r375586978-Tibits-London_England.html,Date of visit: December 2015,"Have been here several times and never been disappointed . The buffet selection is excellent with a fantastic selection of proteins, salads , carbs etc. The food manages to be  healthy and very tasty at the same time , many of the dishes seem to...More",Possibly one of the best vegetarian buffets ever...,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r375586978-Tibits-London_England.html,"Have been here several times and never been disappointed . The buffet selection is excellent with a fantastic selection of proteins, salads , carbs etc. The food manages to be healthy and very tasty at the same time , many of the dishes seem to have a middle Eastern influence. The desserts are delicious, there is a great selection of cocktails and juices and the ambience is good. Great place for lunch, after work- meet up or celebration. You fill your plate and then queue up to pay by weight which may not be to everyone's taste, but in my opinion it works. My only problem is that I seem to suffer from eyes bigger than stomach syndrome every time I go. They also give you a loyalty card.. Recommend a visit.."
Worth a visit.,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r375471365-Tibits-London_England.html,Date of visit: May 2016,"My daughter and I visited titbits vegetarian buffet restaurant for lunch on Saturday before we went to the theatre. We were warmly greeted and managed to get one of the last tables. The variety of food on offer was lovely, each dish was labeled stating...More",Worth a visit.,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r375471365-Tibits-London_England.html,"My daughter and I visited titbits vegetarian buffet restaurant for lunch on Saturday before we went to the theatre. We were warmly greeted and managed to get one of the last tables. The variety of food on offer was lovely, each dish was labeled stating ingredients used and allergy information. You helped yourself then took your plate to the bar to be weighed and order drinks. The prices are very reasonable for London."
Rude staff and a scam,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r375454609-Tibits-London_England.html,Date of visit: May 2016,"I recently visited this restaurant with a friend, as we'd read decent reviews and were intrigued by the unique system of purchasing food by weight. We've now been to a good selection of vegan restaurants around London, and were excited for the prospect of Tibits....More",Rude staff and a scam,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r375454609-Tibits-London_England.html,"I recently visited this restaurant with a friend, as we'd read decent reviews and were intrigued by the unique system of purchasing food by weight. We've now been to a good selection of vegan restaurants around London, and were excited for the prospect of Tibits.First of all, I ordered a specific bottled beer from the menu. When I received the bottle, it was not what I originally ordered, and when I informed a staff member, I was told they discontinued it. So, I asked for another beer on the menu, and the staff member looked at me, sighed, said ""didn't you want this one?"" I responded that I didn't order that one, and wanted another choice. With a cross look on her face, she got me another one, and didn't even offer to refund the difference, I had to ask myself.Whilst I had been getting the drinks, my friend who had gone off to the buffet, returned with a small starter sized portion, which to my shock cost around £10! Absolutely unacceptable.Then it was time for my turn at the buffet. The food displays were clear about what food was acceptable to which diet. I was happy to overlook a single rude staff member, if the quality of the food was outstanding. Thus, I loaded my plate up to a typical buffet-sized plate, and was charged over £25 for this. Although I was rather annoyed at this cost, I digged into my food. Surely it must be worth the hefty price! However, almost everything on my plate tasted like balsamic vinegar; I honestly found it difficult to finish the food. Not at all due to the portion size, it was just that almost everything had a ridiculously sharp taste.I've never been more let down by a restaurant in my life. If you want to go to a decent vegan restaurant, I'd suggest going elsewhere. In fact, I'd bet you'd have more satisfaction if you went to your local kebab shop."
Insanely expensive for what you get,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r375446282-Tibits-London_England.html,Date of visit: May 2016,"My friend and I had looked up the restaurant online beforehand and were interested in the concept they had (paying for food by weight). The downside to this was that  there was a long queue for the food to be weighed and to pay, meaning...More",Insanely expensive for what you get,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r375446282-Tibits-London_England.html,"My friend and I had looked up the restaurant online beforehand and were interested in the concept they had (paying for food by weight). The downside to this was that there was a long queue for the food to be weighed and to pay, meaning I was stood there with my food going cold as there were only two people serving at the tills/weighing scales, with other staff members making drinks. While I had a starter-sized portion, with the intention of going up to the buffet more than once, I was put off when the price came to almost £10. My friend, who had a larger portion, was charged £27 for one plate of food; for this price at other restaurants, I would expect the food to be gourmet, or of a much higher standard, which unfortunately was not the case here. Although the food was nice, it was definitely not worth the price. Additionally, we were unable to book a table as their online booking page and phone service only allows you to book for tables of four or more. It would have been better if we were able to book a table for two, as we ended up being seated at a section right in the corner, almost behind the bar, using what was basically a shelf as a table. The best thing about our visit to Tibits was the cocktail I had, which, for London, was a reasonable price. There are definitely plenty of other veggie/vegan restaurants in London which offer a much more pleasant dining experience and value for money."
Fabulous vegetarian and vegan restaurant,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r375413525-Tibits-London_England.html,Date of visit: May 2016,"I came here with some friends after hearing some good reviews about this restaurant & we were certainly not disappointed.
There were many dishes to choose from, each of them full of flavour and and spectacular.
This is the first restaurant of this concept that...More",Fabulous vegetarian and vegan restaurant,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r375413525-Tibits-London_England.html,"I came here with some friends after hearing some good reviews about this restaurant & we were certainly not disappointed.There were many dishes to choose from, each of them full of flavour and and spectacular.This is the first restaurant of this concept that I have been to where you weigh and pay for what you have on your plate. The service is welcoming and very friendly and is tucked away from Regent Street and I highly recommend this restaurant on Al levels."
"Amazing cocktails, perfect place for vegans & veggies",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r375168731-Tibits-London_England.html,Date of visit: May 2016,"Great place to stop off for lunch, or for a few cocktails after a busy day shopping in London! A huge range of food, which most of it is fantastic for vegans and vegetarians.","Amazing cocktails, perfect place for vegans & veggies",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r375168731-Tibits-London_England.html,"Great place to stop off for lunch, or for a few cocktails after a busy day shopping in London! A huge range of food, which most of it is fantastic for vegans and vegetarians."
Self service veggie flagship,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r375036181-Tibits-London_England.html,Date of visit: May 2016,A busy vegetarian self service restaurant with cheerful staff . There is a ground floor seating area and another bright spacious area downstairs.There is a central buffet island  with a wide variety of foods. It's probably worth doing a lap before choosing. The bread and...More,Self service veggie flagship,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r375036181-Tibits-London_England.html,A busy vegetarian self service restaurant with cheerful staff . There is a ground floor seating area and another bright spacious area downstairs.There is a central buffet island with a wide variety of foods. It's probably worth doing a lap before choosing. The bread and the sauces are excellent.It is a simple system of charging- they just weigh your plate at the counter where you can pick up soft drinks.(25ml tutti fruition is £3.60 and 50ml Hildon still water is £2.10). A very adequate lunch plate of very appetising and varied food is about £7.00. A good variety of desserts are also available if you still have room. It is clearly a popular place with plenty of regulars.I would recommend the place without hesitation.
,,,,,,
Fantastic food very filling,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r374260913-Tibits-London_England.html,Date of visit: May 2016,I visited Tibits with my daughter after work. Was recommended by a vegan friend. Food is absolutely fantastic. As it is self service it is tempting to overload the plate. We both did this and struggled to finish. The ginger infused lemonade was also good....More,Fantastic food very filling,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r374260913-Tibits-London_England.html,I visited Tibits with my daughter after work. Was recommended by a vegan friend. Food is absolutely fantastic. As it is self service it is tempting to overload the plate. We both did this and struggled to finish. The ginger infused lemonade was also good. So why not 5 stars? Well it was a close call and I reserve them for my top ten places. I will definitely go back and not be so greedy next time
Nice vegetarian restaurant,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r374147827-Tibits-London_England.html,Date of visit: March 2016,"Self-service, buffet-style veggie/vegan restaurant (with a bar). Take your food to the bar where it is weighed to determine how much you pay, while you order your drink. Great choice and all vegetarian or vegan. Not cheap, but this is central London so to be...More",Nice vegetarian restaurant,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r374147827-Tibits-London_England.html,"Self-service, buffet-style veggie/vegan restaurant (with a bar). Take your food to the bar where it is weighed to determine how much you pay, while you order your drink. Great choice and all vegetarian or vegan. Not cheap, but this is central London so to be expected. Will visit again."
Great vegetarian food,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r373957039-Tibits-London_England.html,Date of visit: May 2016,Plenty of choice in vegan and vegetarian foods. Food was very tasty. Staff were helpful. Would eat here again.,Great vegetarian food,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r373957039-Tibits-London_England.html,Plenty of choice in vegan and vegetarian foods. Food was very tasty. Staff were helpful. Would eat here again.
"Tasty, Clean, Varied",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r373694524-Tibits-London_England.html,Date of visit: May 2016,"Good value for money 'weigh your plate' buffet. There was good variety, a clean, fresh and open atmosphere. Went on a warm spring day so the big windows were open giving it an 'al fresco' feel in addition to the actual outside seating. 

On this...More","Tasty, Clean, Varied",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r373694524-Tibits-London_England.html,"Good value for money 'weigh your plate' buffet. There was good variety, a clean, fresh and open atmosphere. Went on a warm spring day so the big windows were open giving it an 'al fresco' feel in addition to the actual outside seating. On this visit the toilets needed attention, which was unfortunate."
Wonderful!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r373660825-Tibits-London_England.html,Date of visit: May 2016,What a fantastic little spot! Great food and great price. It's centrally located and has a fab outside sitting area. We didn't have our son with us this visit but downstairs there's a children's area that he would have loved. Will definitely be back. It's...More,Wonderful!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r373660825-Tibits-London_England.html,What a fantastic little spot! Great food and great price. It's centrally located and has a fab outside sitting area. We didn't have our son with us this visit but downstairs there's a children's area that he would have loved. Will definitely be back. It's also made me go vegan!
Vegetarian & Vegan Heaven!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r373432494-Tibits-London_England.html,Date of visit: May 2016,"This is the only buffet I have ever enjoyed. Tastes from around the world and the quality of the food was excellent. Great restaurant, nicely located and great atmosphere.",Vegetarian & Vegan Heaven!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r373432494-Tibits-London_England.html,"This is the only buffet I have ever enjoyed. Tastes from around the world and the quality of the food was excellent. Great restaurant, nicely located and great atmosphere."
Omnivore fan,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r372987383-Tibits-London_England.html,Date of visit: May 2016,"This restaurant/take away was recommended to me by someone who failed to mention to me that is vegetarian/vegan. When I strolled past one day and decided to get my lunch here, I was therefore suprised to realise there was not a single meat dish on...More",Omnivore fan,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r372987383-Tibits-London_England.html,"This restaurant/take away was recommended to me by someone who failed to mention to me that is vegetarian/vegan. When I strolled past one day and decided to get my lunch here, I was therefore suprised to realise there was not a single meat dish on the buffet. Nevertheless I filled my dish with samosas, couscous, herb crusted cauliflower, power greens (broccoli and edamame) salad, a sumptuously creamy mushroom and spinach lasagna, carrot salad (delicious dressing), tomato and tofu salad and falafel and it was all just delicious - and still only a fragment of all the choice on offer. It's not cheap at Tibits but the quality, choice, convenience and most importantly, fantastic flavour of all the food here is commensurate with the price. I have been back lots and have already converted colleagues into fans!"
