Title,Title_link,partial_entry,rev_wrap,Headline,Field1
Top Quality Vegan Food,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r416141361-Mildreds_Soho-London_England.html,"Went into Mildreds on a Friday lunchtime and luckily managed to get a table for four (you can't book unless 10 or more people).  It was heaving!  Extremely busy and noisy, but the service was first rate and the food/drinks came quickly.  My husband and...More",>  >,Top Quality Vegan Food,"Went into Mildreds on a Friday lunchtime and luckily managed to get a table for four (you can't book unless 10 or more people). It was heaving! Extremely busy and noisy, but the service was first rate and the food/drinks came quickly. My husband and son had veggie pasta dishes, while my daughter and I had the Mildreds vegan burger with side order of purple tortilla chips and guacamole. All of the food was cooked to perfection, beautifully presented and very delicious. The hot chocolate brownie for desert is worth coming back again for on it's own!"
"Good offerings, very popular spot",https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r415850192-Mildreds_Soho-London_England.html,"Word of mouth lead us to this place and it was pretty busy when we arrived on a Saturday lunchtime: usually a good sign

The décor was pleasant and mildly diverting and a decent choice of drinks available whilst we awaited our table.  

Food was...More",Date of visit: August 2016,"Good offerings, very popular spot","Word of mouth lead us to this place and it was pretty busy when we arrived on a Saturday lunchtime: usually a good signThe décor was pleasant and mildly diverting and a decent choice of drinks available whilst we awaited our table. Food was good, with a reasonable choice including the odd original. The restaurant was filled with a mostly female clientele aged 20-50 (which is hardly worth mentioning except to contrast with non veggie/vegan eateries).Overall a pleasant experience with efficient (if slightly sterile) service and good provision."
Absolutely amazing - Completamente fantástico,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r414548103-Mildreds_Soho-London_England.html,"Comida vegana/vegetariana muy deliciosa y con muchas opciones. Local bonito y bien decorado. ¡Volvería todos los días si pudiese!
-
Delicious vegan/vegetarian food and with lots of options. Nice restaurant well decorated. Would go there every day if I could!",Date of visit: September 2016,Absolutely amazing - Completamente fantástico,Comida vegana/vegetariana muy deliciosa y con muchas opciones. Local bonito y bien decorado. ¡Volvería todos los días si pudiese!-Delicious vegan/vegetarian food and with lots of options. Nice restaurant well decorated. Would go there every day if I could!
Enjoyed a great veggie dinner !,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r414440805-Mildreds_Soho-London_England.html,"We discovered this Vegetarian Gem via Google maps yesterday evening . It's open late , till 11 pm( on Sat nights). The food was excellent . I am not a veggie . I had a great Veggie burger .
The deserts were wonderful. We each...More",Date of visit: September 2016,Enjoyed a great veggie dinner !,"We discovered this Vegetarian Gem via Google maps yesterday evening . It's open late , till 11 pm( on Sat nights). The food was excellent . I am not a veggie . I had a great Veggie burger .The deserts were wonderful. We each chose something different on the menu,and everyone ate well!The staff was very nice. We paid around $150.00 for 4 persons .It would definetly eat there again !Fyi-they do not accept American Express !"
A buzzing vegetarian restaurant. Thoroughly enjoyed.,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r413902073-Mildreds_Soho-London_England.html,Set in a quiet street Mildreds is the one with a huge gaggle of people outside. There is a no booking policy here but we really enjoyed our 45 minute wait with the gaggle. The cocktails - fabulous  Southsides   kept us going until we could...More,Date of visit: August 2016,A buzzing vegetarian restaurant. Thoroughly enjoyed.,"Set in a quiet street Mildreds is the one with a huge gaggle of people outside. There is a no booking policy here but we really enjoyed our 45 minute wait with the gaggle. The cocktails - fabulous Southsides kept us going until we could eat.Order anything because it all tastes really fresh and flavoursome. I ate things I don't normally touch, tofu as a burger. I would gladly eat that again too. The atmosphere is very exuberant which suited us, everyone seemed to be really enjoying themselves and it was only a monday!Service was excellent."
"OK food, hour wait, food taken before we finished and mocktail was a cocktail",https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r413703042-Mildreds_Soho-London_England.html,"For non drinkers who strictly do not drink we were appalled when we realised the mocktail we ordered must have been alcoholic! We were also charged 2.20 extra because of this which was then refunded but then the waitress just joked about it. 

I hadn't...More",Date of visit: September 2016,"OK food, hour wait, food taken before we finished and mocktail was a cocktail","For non drinkers who strictly do not drink we were appalled when we realised the mocktail we ordered must have been alcoholic! We were also charged 2.20 extra because of this which was then refunded but then the waitress just joked about it. I hadn't even finished my sweet potato fries when the waiter came and threw a dirty napkin in my plate and took it away, at which time I told him I hadn't finished and he gave a disgruntled look and walked off. The food was good but nothing to write home about. Not bad though and the cocktail mocktail was quite tasty.Apart from waiting about an hour for a table we had a generally lovely experience. The cashews were also great."
Best veggie restaurant in London!,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r413662032-Mildreds_Soho-London_England.html,"Amazing food, great prices (around £12 for mains and affordable wine), buzzing atmosphere. Couldn't recommend this place highly enough. You do have to wait for tables but you can have a drink whilst you wait and it's definitely worth it.",Date of visit: October 2015,Best veggie restaurant in London!,"Amazing food, great prices (around £12 for mains and affordable wine), buzzing atmosphere. Couldn't recommend this place highly enough. You do have to wait for tables but you can have a drink whilst you wait and it's definitely worth it."
Lunch heaven,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r413399259-Mildreds_Soho-London_England.html,"Visited Mildreds for lunch on two seperate days. Bugers were just fantastic, juicy and tasty, the fries a bit disappointing (but ok). The curry was superb. Quite crowded on both visists, but friendly and effective service. A very safe place for having a good lunch,...More",Date of visit: August 2016,Lunch heaven,"Visited Mildreds for lunch on two seperate days. Bugers were just fantastic, juicy and tasty, the fries a bit disappointing (but ok). The curry was superb. Quite crowded on both visists, but friendly and effective service. A very safe place for having a good lunch, wheter you are vegan, vegatarian or just enjoy nice food a affordable prices."
,,,,,
"Delicious Vegetarian Dishes, Fantastic Cocktails!",https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r413248658-Mildreds_Soho-London_England.html,"Thoroughly enjoyed our visit to Mildred's! There was a wonderful range of vegetarian and vegan options, and all of the dishes we ordered were both delicious and well presented. The cocktails likewise were fantastic!  My only criticism is that the restaurant is a little small...More",Date of visit: August 2016,"Delicious Vegetarian Dishes, Fantastic Cocktails!","Thoroughly enjoyed our visit to Mildred's! There was a wonderful range of vegetarian and vegan options, and all of the dishes we ordered were both delicious and well presented. The cocktails likewise were fantastic! My only criticism is that the restaurant is a little small and squashy, with tables crammed in closely together. Nonetheless, there is a wonderful atmosphere and I highly recommend a visit."
We had a lovely time!,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r412870378-Mildreds_Soho-London_England.html,"I went to Mildreds on a Tuesday and the place was busy, I think we got in just at the right time 12.30 lunchtime, we were seated straight away. Superb menu choice and prices are good for fresh vegetarian quality, we had the salad selection...More",Date of visit: August 2016,We had a lovely time!,"I went to Mildreds on a Tuesday and the place was busy, I think we got in just at the right time 12.30 lunchtime, we were seated straight away. Superb menu choice and prices are good for fresh vegetarian quality, we had the salad selection as an eat in option, it was chosen and brought to us as part of the table service which was lovely, The fresh juices are amazing and excellent value for money. I would use again but it is a real shame it isn't completely vegan or gluten free, you have to check this, it does say on the menu and you can ask the staff, but I wasn't aware of all the salad ingredients."
Veggie Place,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r412446715-Mildreds_Soho-London_England.html,Go out to funky Camden Town and try this excellent vegetarian place. Service was friendly and skilled. Loved the burgers.  Stir fry veggies delicious. Tagine wonderful. And have a Budweiser to wash it all down. The original Bud...not the US stuff.,Date of visit: August 2016,Veggie Place,Go out to funky Camden Town and try this excellent vegetarian place. Service was friendly and skilled. Loved the burgers. Stir fry veggies delicious. Tagine wonderful. And have a Budweiser to wash it all down. The original Bud...not the US stuff.
Great vegetarian food and great ambience,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r411704535-Mildreds_Soho-London_England.html,We tried to eat here on my last trip to London in 2014 but it was too busy. On the spur of the moment we decided to try this time around. Despite being told it would be a 30 minute wait on a busy Saturday...More,Date of visit: August 2016,Great vegetarian food and great ambience,"We tried to eat here on my last trip to London in 2014 but it was too busy. On the spur of the moment we decided to try this time around. Despite being told it would be a 30 minute wait on a busy Saturday night we were seated within 15 minutes. It is a small space but somehow doesn't feel crowded. It's interesting to see such a great mix of patrons as well, Mildreds is not at all pretentious but definitely lives up to the hype. I had ravioli with a beautiful saffron cream sauce which was well prepared with delicious subtle flavours. The staff are lovely as well. Will definitely be back. Mildreds has joined Nopi as my favourite Soho restaurant."
Nice but busy,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r409594398-Mildreds_Soho-London_England.html,I've wanted to go here for a while. The food did not disappoint. We were quickly seated at a table for 3 and the restaurant filled up not to shortly afterwards. Space is limited here. Not only are you close to those on your table...More,>  >  >  >,Nice but busy,"I've wanted to go here for a while. The food did not disappoint. We were quickly seated at a table for 3 and the restaurant filled up not to shortly afterwards. Space is limited here. Not only are you close to those on your table but your close to those on other tables. Hearing conversations, trying not to put your bum in their food as you attempt to go to the bathroom. The food and service however is worth it. Everything is tasty and very well seasoned. They need some growth on the desert menu"
No meat? No Problem!,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r409453857-Mildreds_Soho-London_England.html,"This place is a favourite for my veggie friend and I. Everything we've ever eaten there has been fantastic and so so tasty! I'm a meat-eater, but have never felt that any of the dishes are missing anything as they're so flavourful. Get there early...More",Date of visit: August 2016,No meat? No Problem!,"This place is a favourite for my veggie friend and I. Everything we've ever eaten there has been fantastic and so so tasty! I'm a meat-eater, but have never felt that any of the dishes are missing anything as they're so flavourful. Get there early or be prepared to wait as even fifteen minutes after opening they're full! If you're happy to share a table with another couple you can get in a little quicker. The staff were fine, too busy to really chat, which is totally understandable. All in all a fantastic place to eat, even if you're not a veggie!"
THE HIPPEST VEGGIE JOINT IN LONDON!,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r408961007-Mildreds_Soho-London_England.html,"this new york style restaurant is THE veggie oasis in soho....paradise for one who seeks vegan fare for a late night dinner after the theater...unlike other veggie joints that typically close by 10pm, mildreds is open until 11pm...the foods is tasty and well presented...the ambience...More",Date of visit: July 2016,THE HIPPEST VEGGIE JOINT IN LONDON!,"this new york style restaurant is THE veggie oasis in soho....paradise for one who seeks vegan fare for a late night dinner after the theater...unlike other veggie joints that typically close by 10pm, mildreds is open until 11pm...the foods is tasty and well presented...the ambience is sublime...the staff cool and friendly...especially to this rollerblader who enjoyed the smooth floors and positive vibrations coming from the food and the staff...my favorite dish was the sweet potato and green bean curry....followed by the raw chocolate truffle cake...can't wait to return!"
Love love love,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r408834358-Mildreds_Soho-London_England.html,"My absolute favourite restaurant. I love the food, the staff and the atmosphere. I've been a million times and will go a million more.",Date of visit: August 2016,Love love love,"My absolute favourite restaurant. I love the food, the staff and the atmosphere. I've been a million times and will go a million more."
Fabulous veggie and vegan food!,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r408766875-Mildreds_Soho-London_England.html,"Excellent location. Huge range of menu choices for both vegans and vegetarians. Everything we ordered was utterly delicious from the basil mayo, beetroot burgers, crushed avocado, salads, peanut choc brownies and tea. Love it. Definitively coming back! Thank you!",Date of visit: August 2016,Fabulous veggie and vegan food!,"Excellent location. Huge range of menu choices for both vegans and vegetarians. Everything we ordered was utterly delicious from the basil mayo, beetroot burgers, crushed avocado, salads, peanut choc brownies and tea. Love it. Definitively coming back! Thank you!"
Deliciously different,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r407879653-Mildreds_Soho-London_England.html,"Impeccable food and service. A real lunchtime treat, worth seeking out amongst the chain restaurants",Date of visit: August 2016,Deliciously different,"Impeccable food and service. A real lunchtime treat, worth seeking out amongst the chain restaurants"
,,,,,
Very good,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r407603857-Mildreds_Soho-London_England.html,"Three of us had lunch at Mildreds, late afternoon on a Thursday so no wait for a table. The restaurant has a relaxed atmosphere with friendly, helpful staff.
The menu offered a good choice of imaginative vegetarian meals and when the food arrived we were...More",Date of visit: August 2016,Very good,"Three of us had lunch at Mildreds, late afternoon on a Thursday so no wait for a table. The restaurant has a relaxed atmosphere with friendly, helpful staff.The menu offered a good choice of imaginative vegetarian meals and when the food arrived we were impressed with the flavour & presentation.I felt the prices are slightly on the high side, hence the 4 stars. However - Mildreds is fulfilling a great service in the West End by showing that vegetarian meals are a delicious, healthy choice for all. We need more branches please!"
Every vegetarian should try this place and meat eaters might like it too,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r407187299-Mildreds_Soho-London_England.html,"We went on a Saturday night so knew we would have to wait for a table. We arrived, secured a place in the queue, went for a drink nearby and returned about 45 mins later. Factor this into your visit at busy times. The food...More",Date of visit: May 2016,Every vegetarian should try this place and meat eaters might like it too,"We went on a Saturday night so knew we would have to wait for a table. We arrived, secured a place in the queue, went for a drink nearby and returned about 45 mins later. Factor this into your visit at busy times. The food is fab and reasonably priced. My veggie friend loved it and the other two of us who are meat-eaters also enjoyed it. We would definitely like to return."
Utterly delicious,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r406597760-Mildreds_Soho-London_England.html,"Went on a Friday after work. Do expect to wait a little while as you can't book. But it's worth the wait 
The food is so delicious. The flavours , presentation , aromas are mouth wateringly seductive and indulgent. We enjoyed the tortellini and Sri...More",>  >,Utterly delicious,"Went on a Friday after work. Do expect to wait a little while as you can't book. But it's worth the wait The food is so delicious. The flavours , presentation , aromas are mouth wateringly seductive and indulgent. We enjoyed the tortellini and Sri Lankan curry and white chocolate cheesecake and chocolate truffle cake. Restaurant gets busy. It is a little cosy in there - but it adds to the atmosphere Definitely worth a visit"
Flavoursome food even for the meat eater,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r406160624-Mildreds_Soho-London_England.html,"Took my vegan girlfriend to Mildreds today and although I rather my meals to contain meat, I was very pleasantly surprised. There was a lot of thought taken in the preparation of the menu with ideas from all over the world. The flavours not only...More",Date of visit: August 2016,Flavoursome food even for the meat eater,"Took my vegan girlfriend to Mildreds today and although I rather my meals to contain meat, I was very pleasantly surprised. There was a lot of thought taken in the preparation of the menu with ideas from all over the world. The flavours not only compliment each other but make the zing.Will definitely be taking some ideas back to the kitchen with me. Thanks from a meat eating chef"
Vegetarian highlight!,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r405905952-Mildreds_Soho-London_England.html,"Mildreds is an awesome restaurant and very busy place! Having read reviews I knew we would be able to get a table on an off hour without a wait and the food did not disappoint! It is appetizing, nutritious and healthy. Its creative approach made...More",Date of visit: August 2016,Vegetarian highlight!,"Mildreds is an awesome restaurant and very busy place! Having read reviews I knew we would be able to get a table on an off hour without a wait and the food did not disappoint! It is appetizing, nutritious and healthy. Its creative approach made realize there were many ways to cook vegetarian food.. we were so inspired a cookbook was purchased :)"
Amazing!,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r405846003-Mildreds_Soho-London_England.html,"My partner and I are not vegans. We are not even vegetarians. But we loved this food. We like healthy food, and I am gluten free, so this seemed like a good idea, and although we love a bit of meat in our meals, we...More",Date of visit: July 2016,Amazing!,"My partner and I are not vegans. We are not even vegetarians. But we loved this food. We like healthy food, and I am gluten free, so this seemed like a good idea, and although we love a bit of meat in our meals, we decided to try it anyway. We were not disappointed. We had a starter to share, (I'm sorry, I can't remember which) and we also shared the sweet potato curry, (again, I can't remember the exact dish), but it was superb, and really tasty.The service was fast and friendly, the food didn't take long to arrive either, and we had some lovely fresh fruit juices. We will definitely be back next time we're in London."
Super SOHO Vegetarian restaurant,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r405317037-Mildreds_Soho-London_England.html,My two vegetarian/vegan daughters took me here for dinner early one Monday but we still had to queue demonstrating its popularity (reservations are available but not on the actual day of booking). The restaurant has a quaint history being located in a former sex club...More,Date of visit: July 2016,Super SOHO Vegetarian restaurant,"My two vegetarian/vegan daughters took me here for dinner early one Monday but we still had to queue demonstrating its popularity (reservations are available but not on the actual day of booking). The restaurant has a quaint history being located in a former sex club in the SOHO location with the dinning rooms split between all the former rooms in the house. Food is superb, plenty of colorful, tasty dishes to choose from, and priced to attract a broad range of dinners. Service quick and friendly. Highly recommend and will satisfy both vegetarian and non vegetarian alike."
Surprise vegetarian/vegan experience,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r404925108-Mildreds_Soho-London_England.html,"Wandering through Soho we were looking for a quick lunch.  Mildred's looked like a small brasserie so we walked in.  We were a bit surprised to find a vegetarian/vegan restaurant, not the cuisine we would go for.  And not really our kind of cuisine.  Probably...More",Date of visit: July 2016,Surprise vegetarian/vegan experience,"Wandering through Soho we were looking for a quick lunch. Mildred's looked like a small brasserie so we walked in. We were a bit surprised to find a vegetarian/vegan restaurant, not the cuisine we would go for. And not really our kind of cuisine. Probably a nice place if you're into this kind of food, but not really for us."
Faultless food and service,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r404518977-Mildreds_Soho-London_England.html,Despite being a meat eater I have wanted to eat here for a while after hearing amazing things. We nabbed a table at 5:30pm on a Friday without much waiting and happy to say that Mildreds completely lived up to my high expectations. The beetroot...More,Date of visit: July 2016,Faultless food and service,Despite being a meat eater I have wanted to eat here for a while after hearing amazing things. We nabbed a table at 5:30pm on a Friday without much waiting and happy to say that Mildreds completely lived up to my high expectations. The beetroot burger was like nothing I'd had before and my boyfriend had the sweet potato curry which was so filling and full of flavour. Have recommended this place to everyone I know and will be back!
Delicious,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r404466714-Mildreds_Soho-London_England.html,Everything is particular and Good tasting! I'll come back!! We got an hamburger and a risotto ball .. The service is Good and The place is very Nice!!,>,Delicious,Everything is particular and Good tasting! I'll come back!! We got an hamburger and a risotto ball .. The service is Good and The place is very Nice!!
,,,,,
Even for meat- eaters,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r403123195-Mildreds_Soho-London_England.html,"Ate there with two friends of mine; of which one was complaining about having to eat vegan food. We all loved it though; so no more complaints after the visit! The drinks were not the best, but not bad either.",Date of visit: August 2016,Even for meat- eaters,"Ate there with two friends of mine; of which one was complaining about having to eat vegan food. We all loved it though; so no more complaints after the visit! The drinks were not the best, but not bad either."
Fantastic food (even for non-believers),https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r402983097-Mildreds_Soho-London_England.html,"Four of us kicked off with a few beers and cider (7% alcohol) and a couple of starters to share: harrisa hoummus, pinenuts, spicy tempeh with chargrilled flatbread and broad bean, pea and mint dip, roast cherry tomatoes with chargrilled sourdough.   Tasty and excellent, I...More",Date of visit: August 2016,Fantastic food (even for non-believers),"Four of us kicked off with a few beers and cider (7% alcohol) and a couple of starters to share: harrisa hoummus, pinenuts, spicy tempeh with chargrilled flatbread and broad bean, pea and mint dip, roast cherry tomatoes with chargrilled sourdough. Tasty and excellent, I was almost converted. For mains we all had the sri lankan sweet potato & green bean curry with roasted lime cashews, pea basmati rice and coconut tomato sambal. In the words of Michael Winner, ""it was historic"".One of our adult children is a veggie and coming from Manchester we make regular visits to Greens, Simon Rimmer's restaurant in West Didsbury. His food is a revelation to non-veggies (me), so I'm now a believer although not converted. Mildred's has amazing food, really tasty. The service is friendly and excellent. We will be returning in a few weeks' time."
