Title,rev_wrap,Field2
Vegan birthday celebration,Date of visit: January 2020,"Great experience. 4 of us went there to celebrate my vegan daughter's 19th. Only 1 vegan amongst us all. We shared starters of the gyosas and the arancine balls. The arancinis where lovely - a winner and we should have ordered more of them. Gyosas were just ok. Mains where all good. Chick'n kebabs, sri lankan curry and 2 burgers with chips (teriyaki chick'n and beetroot). We all had a taste of each other's food but we all agreed that all the food was lovely. I had the beet burger and it is was very satisfying. And the Chick'n burger and kebabs had the consistency of real chicken. Who would have thought!! And the curry was nice and creamy and coconutty. We shared desserts, 1 cheesecake and a clementine cake. The cheesecake was wonderful but I would not order the clementine cake again. No-one liked it . 2 diet cokes and a carafe of wine. With service included it came to £118 which was fair value. The place was busy (Sunday afternoon) and on arrival we gave them our mob number and went to nearby pub for a drink. Within half an hour we received a text and the table was waiting for us. Staff were efficient , polite and knowledgeable. No problems whatsoever and as a meat eater I was pleasantly surprised. Would go again. Thoroughly recommend this place."
A vegan hot spot,>,"Mildred's offers a varied and interesting menu which is a delight to discover as a vegan. The food was delicious, well presented and the portions are generous. We didn't have to wait long for our food either. (The drinks menu is also well varied and I thoroughly appreciated the fact the wine list is organic). Despite the fact this Mildred's establishment doesn't take bookings, we only had to wait about 5 mins to be seated. The restaurant is incredibly narrow and cramped though so definitely not ideal if you come with a pushchair/wheelchair etc. But for a girls dinner it was fine. The decor was quirky and the staff friendly. I do think the drinks are considerably overpriced but the food is definitely value for money. Recommend to all vegans!! (But get there early to avoid disappointment. We arrived at 17:00 and left at about 18:30 and the queue outside was enormous as we were leaving). It's also very close to the theatres in Leicester square and so is an ideal vegan spot for pre-show supper."
Outstanding,Date of visit: January 2020,"Excellent service, delicious food and reasonable prices.A paradise in London for vegans. The location is also quite convenient: very central but not too busy. Highly recommend it."
Quality veggie meal,Date of visit: January 2020,"Very good food, I went yesterday around 15:30 and even then it was busy! I had the burger, fries and drink option which was £15.00 and good value in my book. They are currently doing vegan only for January but in general it is a vegetarian restaurant."
Vegan date night in Soho,Date of visit: December 2019,"Vegan review - Winner! Mildreds is a small room with low lighting, quirky art and big flavours! Walked in for dinner and got seated within minutes. The servers were busy but effective. Food tasted so good - I had a ""chicken"" skewer that was so meat-like, so juicy and satisfying. Also enjoyed a creative mocktail. Really can't think of anything bad to say, this one is well worth trying out if you can."
Really lovely,Date of visit: January 2020,Finally made it to Mildreds - pre theatre meal - arrived 5.30 ish and got seated right away upstairs as downstairs already full. Fairly quickly the room filled up. As we were leaving about 7 ish there were long waits I think. The Pear Martini packs a punch . We decided to go for it and had starters and mains. There was not one dish we didn’t love - two of us has the levant chick n kebabs and thought it was the best fake chicken we ve tried. One very happily fed family.
Hope it's still going well Mildreds !,Date of visit: May 2019,"Forgot to post this review in May when Mildred's opened, apologies. We had a great meal there, fab service on day 1, a bit of a squeeze inside but good ambiance. Got to come back :-)"
Pre theatre gluten free and veggie delight,>  >,"We visited Mildreds after finding on Trip advisor, arrived earlier than we would have liked because they do not take reservations which is a little inconvenient, we did not wait for a table (4.30 pm) and had a seat in an upstairs room which was nice and cosy, the starters were amazing and main courses ok but not so much choice for coeliacs, we would probably go again but not if we had a theatre reservation in case there was a long wait for a table or in our case found ourselves eating a little earlier than we would have liked, all in all a great place to eat thank you"
"Mildred, not Dreadmill!",>,"As always, great food and ambience on the ground level which had a different look and feel compared to the last time we visited the place. We were told the wait would be an hour and twenty minutes but we're seated within half an hour. The place could do with managing the waiting customers better - lots of bumping into staff and other customers. We got a table on the upper level, which weren't as swish as the ground level. The table was very wobbly too start with and we had to constantly hold it in place with our feet. Coming to the main agenda for the evening - the food! The menu was all vegan to celebrate Veganuary which was perfect. As always, it was great! What Mildred does exceedingly well is the consistency in its food! The Sri Lankan curry was divine as always. We tried the Porcini Mushroom Arancini, Gyoza Dumplings, Harissa Bravas and the Levant Chick'n Kebabs too. The Arancini and Harissa Bravas were at par with the Sri Lankan curry. The mushroom sauce with the Arancini was flavourful and the Harissa Bravas was hot and spicy. Levant Kebabs were too dry, could do with a bigger generous doze of the butter bean sauce. Finally for dessert, the cheesecake and sticky toffee pudding were simply delicious! Will go back for just the desserts soon! All in all great dinner with friends but found it slightly pricey as the ambience doesn't match the beautiful food being served. Could do with a bit of an upgrade in the ambience department and a slightly affordably priced menu would always be welcomed. Wonder if they do a set menu!"
,,
Consistently good food,Date of visit: December 2019,"On this visit my friend is vegan, the other two of us being neither vegan nor vegetarian. I have been to Mildred’s a few times now and never feel I’m missing out. The food is so good and I enjoy it very much. We also had my granddaughter with us and they readily produced a high chair for her. The service is very good too. The restaurant is quite small and the tables are close together. I will definitely return."
Never have I...,Date of visit: December 2019,"eaten vegetarian food that was so delicious and imaginative. I've been vegetarian for a very long time but my teenage girls are recent converts. Usually, I would go for Chinese and Indian food but this takes vegetarianism and veganism to a different level. Girls had the Halloumi burgers which they said were divine.The husband and I shared three starters, -harrissa bravas, herb roast potatoes, harrissa, aioli-porcini arancini, white truffle oil, porcini, chestnut mushroom risotto, porcini cream- artichokes -halloumi, red onion, harissa, charred red pepper, romaine lettuce, tahini, pita breadService was excellent. It gets very busy so I guess best to book in advance, we were lucky to get a table as we went in just before 12.00.The food came quickly and our waitress was very attentive.The few trolls who wrote bad reviews or average reviews here are being mean little creatures."
Great sorbet but a bit bland for savoury dishes,>  >  >  >,I liked the spicy halloumi with beetroot but I was expecting way more spice. Flavour were nice but it could be turned up a lot more. My main was not that great. The beetroot burger was dry and did not have much flavour. I could not taste the clementine in the clementine cake but the blood orange sorbet was absolutely delicious!!!!!
Pre theatre vegan dining,Date of visit: December 2019,"Get there early to avoid the rush... There is no pre booking but the service is fast but not in a rushed way. Hugo ran the front of house very well, almost convinced him to join us for a glass of the Riesling he recommended!Not a huge menu but everything is delicious. (Last night was my 3rd visit so I've tried most of the menu)... great to share between 2 or 3 so you can try more."
Vegetarian Vegan Sublime,>,"This place is a vegetarian’s dream! The food is sublime and affordable for us who haven’t got the disposable income for swanky prices. The staff are fabulous and even though you’re likely to have a wait as you can’t book and it’s always busy, it’s worth the wait! Every course was a delight and the ingredients and vegetable cookery is sensational! Can’t wait to revisit. My partner is a fussy vegetarian who’s allergic to cheese and mushrooms and for once this was absolutely no problem at all. It is refreshing and almost emotional to discover such a truly authentic and ethical foody adventure venue. Thank you Mildreds"
Very Busy,Date of visit: December 2019,Loved being able to pick everything from a card for once. As a vegetarian it is sometimes difficult to find something at restaurants. The place is extremely busy! We had a waiting time of about 50'. We were able to leave our phone number and the staff sent a text as soon as a table was free.
"Basic food, poor service.",Date of visit: December 2019,"Basic food, poor service. Was full of expectations after seeing such good reviews, however reality didn’t live up to it."
"Healthy, tasty, affordable",>,"While I’m far from a vegetarian, I love mildreds take on dishes. Attached is the picture of the vegetarian burger and delicious patas bravas I had."
Cute,Date of visit: November 2019,"Nice vegetarian / vegan cafe. Great tasting food, good, friendly service. Nice wine. Easy to find. Healthy food at affordable prices."
Average,Date of visit: November 2019,"Came for dinner because of the good reviews however was disappointed with food and service. I hadn’t even finished eating my starter when the waitress came to clear away my partners plate and tell us mains were ready, while staring blankly at us for a response. This made me feel rushed and uncomfortable. Main course came and halloumi burger was nice but sweet pot fries were cold. Overpriced for average food and service."
,,
This place gets busy!,Date of visit: November 2019,"I should start by saying that this is a vegetarian restaurant. I am not vegetarian. You can't book unless you have a party over 12 people. It opens at 11am and is extremely busy from the start. There is a bar where you can have a mocktail or two while you wait for a table. There is a buzz around the place from the moment you enter, we got the last two persons table and then the queue started. The food is excellent. The starters are very well portioned and the mains also (I didn't have room for a dessert) which looked and sounded interesting. The staff although very busy are very attentive, service can be a bit slow because it's so busy. We were there for a pre matinee theatre lunch and came out feeling full and very satisfied but not bloated.We thoroughly enjoyed our meal and will try and get back very soon. Prices were very reasonable for a place in Soho in the heart of London."
Everything I’d hoped for...and more,Date of visit: November 2019,I have been wanting to try Mildreds for so long. Today we were in our way to the they’re and called in for lunch and we were not disappointed. Service was great. The choice of food on offer was also amazing. I had the porcini arancini followed by the chik’n kebabs. My husband had the Halloumi and the chik’n burger and chips. We both loved it and it was so tasty. Loved everything about it. An extra splash of chilli sauce have it a bit of a kick. Then to top it off a salt caramel martini (any my husband has the white chocolate martini ❤️❤️❤️). We will definitely be going again. Soon.
Friendly vegetarian,>  >,"Great place for well thought out vegetarian and vegan food. Friendly service. Tasty polish burger, and soul bowl and mushroom arancini."
Amazing food and great atmosphere,>,"It’s over ten years since our first visit to Mildred’s and we were looking forward to it.We waited an hour for a table with the efficient tab system and had some lovely food choices.Due to the layout of the place, we ended up chatting with our neighbours discussing pudding options - the atmosphere is so relaxed and friendly.Absolutely stuffed when we left; loved it.Incidentally; interesting tiles in the toilets!"
"Amazing staff, fantastic food",Date of visit: November 2019,"I cannot sing the praises of this restaurant highly enough! Each staff member who served us was welcoming and friendly. We popped in on a Friday lunchtime and had to wait in a queue for about 15 - 20 minutes, but the food was SO worth the wait!! The gyoza dumplings, at £6, are a really tasty starter but they're so good i wish they'd been a main instead. There are so many tasty and healthy dishes it was very difficult to choose, as I wanted to eat a bit of everything! The sausages (made from parsnips as well as other things - beans I think) with mustard mash were very tasty, and I especially enjoyed the zingy redcurrant gravy they came with. Tenderstem broccoli was available to have on the side to add to the meal. They had very ncie freshly-made organic apple and orange juice, which my wife enjoyed, but I opted for a nice pale ale, which was also tasty. We'd been placed in a window seat upstairs so it felt nice and intimate, whereas the atmosphere downstairs seemed more busy and bustling. I hope I get to return here in the future."
Delicious food and cocktails,Date of visit: November 2019,Been told to try this place for a while even if not vegan so decided to go with a group of friends (mixed group of vegan/veggie etc). It worked for everyone and the drinks were lovely as well. I especially recommend the teriyaki burger and the artichoke.
Delicious burgers,>,Delicious veggie burgers and divine moctails. Both halloumi and teriyaki chick’n burgers were so good. Good price for this quality.
Mildreds does it again and again and....,>  >  >,"Never miss Mildreds when in London. This crowed, friendly restaurant is worth the wait in line. Have a great drink in the bar while waiting. The food is healty vegetarian/vegan with great tastes. I’ll be back!"
Perfect meal,>  >  >  >,"There were so many rave reviews of the food, we wanted to try everything so we ordered 6 appetizers. Each was better than the next. The aubergines with pomegranate were sweet and satisfying. The celeriac skordalia was delicious and a flawless com I nation of flavors. The gyoza dumplings were heavier and more filling than expected—my husband loved them. The spiced halloumi was delicious and the hazelnut dukkah was our favorite. Yes there was a wait but the gin and tonic at the bar helped the time fly by while waiting. We plan to return again during our short time in London. Outstanding."
Excellent,>  >,"Due to its popularity, Mildreds is extremely busy so a 15+ minute wait was inevitable. Drinks at the small bar and when at the table, service was good and efficient. Dumplings to start with then teriyaki chicken burger with fries. Excellent all round and food very tasty, delivered very quickly. The 'optional' service charge is not hidden, clearly displayed on your bill before payment. Really enjoyed it and highly recommended."
,,
Very special place,Date of visit: October 2019,I had my doubts of eating at a fully vegan restaurant. Now one of my favourites. This little gem serves outstanding food of exceptional quality. Fabulous staff. Quirky surroundings. Very relaxed atmosphere. A must go-to.
"""Optional"" service charge",Date of visit: November 2019,"12.5% ""optional"" service charge automatically added to the bill and charged on your card without your consent. Really soured what was a lovely meal. I probably would have tipped more had it been my choice but I definitely will not be going back now."
"Exciting food, delicious cocktails",Date of visit: November 2019,"We are new to plant based eating and thought we'd do a google for good vegan food in Soho - Mildreds came up and we took a mosey there, although we weren't able to book as it's walk ins only. The 40 minute wait turned into an hour, but we entertained ourselves with a cocktail or two (I can't remember the names but they were delicious). We were encouraged by just how busy it was as well, so our tummies were rumbling by the time we got our table. I had the arancini to start, followed by the halloumi burger and then the biscoff cheesecake and everything was utterly gorgeous. Some of the best food I've had in London full stop. Mr Pinkystan's chk'n burger was cold and there was a mixup with his pudding, and he was a bit grumpy that our waiter said something like 'I'm not pouring your wine as I've poured enough wine tonight', and the wine wasn't cold (it was white so should be really), but in spite of all that he STILL said he wouldn't hesitate to come back because the experience overall was great. And the food was tasty even if it wasn't piping hot : )"
"Tasty food, fun atmosphere",Date of visit: October 2019,"Veggie place with amazing atmosphere, frenetic pace to serving but really interesting and deliciously tasty food. No booking so pick you time or prepare to queue!"
Don't miss it,Date of visit: November 2019,"I was here for lunch with my family, we all are vegans, and this restaurant was the perfect spot. The food was amazing, flavored, nice presentation. The place is really clean. The staff was nice and friendly. I highly recommend it"
The Best,>,"What a busy restaurant, at 5.40 there were tables by 6.05 they were queues out the door. Food is was excellent we had the sri lankan sweet potato and cashew nut curry, delicious and the service was excellent given how busy they were. Definitely recommend it and I’ll be back."
Loved the parsnip and apple,Date of visit: October 2019,Loved the parsnip and apple sausages and caramel cheesecake. Sublime. Other menu items also very good. Wouldrerererecommend
Unbelievably good,Date of visit: October 2019,"Second time we have eaten at a Mildred's. From the moment you walk in to the moment you walk out you know you are in safe hands. The man with the i pad trying to squeeze everyone in makes you feel wanted! It was so busy but we only had to wait quarter of an hour and drink a fantastic negroni while waiting for our table. Service, fantastic, laid back but so efficient and friendly. I don't know how they do it in this tape measure of a room! And the food! Sublime! God I love the food, so delicious, but fresh and healthy at the same time. The whipped tahini, the chick n the beautiful laskan curry and the fries, even the fries are delicious. Mildred, you can do no wrong!"
"Finesse, flavour and food beyond belief!",Date of visit: October 2019,"Vegetarian and vegan food that carefully considers every ingredient on the plate. Locally sourced, fresh and original flavour combinations that give Mildred’s it’s hallmark food. There is nothing rushed here and the cosy venue creates fine dining without the snobbery or over confident service/waiting staff.A joy that we both continue to talk about. If only we could eat at Mildred’s everyday! Amazing!!"
Worth the wait.,Date of visit: October 2019,"So busy here but justifiably. A fantastic choice at not ridiculous prices. Just watch out though, we had to wait a while so spent more on G&T than we should! Staff lovely too."
,,
Heavenly experience,Date of visit: October 2019,"It was a busy and vibrant Saturday night, in the middle of Soho, London. I was with my girlfriends and we were hungry. Very hungry. The time was not much, but the burning desire to get in there was a lot.We were outside, shivering in absolute hunger. The owner (I’m assuming) managed to get the 6 of us in there shortly after. Once we got in, I was completely mind blown: the place was insanely beautiful and the atmosphere was almost lysergic. We got escorted to our table, that viewed over the street. I felt like I was under a spell. After ordering amazing beers, cocktails and water, the magic happened: we got our burgers, I ordered the polish one. It was so good I almost cried. It reminded me of the flavors of my youth in Russia during the 30s. The staff is adorable and contributed to this surreal and extraordinary experience. Highly recommended, I’ll definitely be back when in London. Thank you guys. x"
3.5 A good light alternative for food delivery,Date of visit: October 2019,"When ordering food from the sofa (which I very rarely do) the largest choice is for comfort food, at least on my post code. I found Mildreds to be a fair healthy option and they have food hygiene 4. Ordered with Deliveroo, food arrived pretty quickly. I did not like the dumpling but mostly because grilled and I prefer them steamed, definetly will no re-order them.The curry was light, fresh, delicate but spicy, pleasant overall.No sad staff and chaos as per the other revews as I ate confortably at home.I would not queue for this though, so not sure why people are waiting for over an hour."
Superb experience,>,"Friendly environment, great service, relaxed atmosphere. Food extremely delicious, great value! Definitely will come back as soon as we have a chance to visit London again!"
Overpriced & disappointing,Date of visit: September 2019,Overpriced and the food is nothing to get excited about. Very disappointed as had heard good things about the place.
Delicious and exciting,Date of visit: October 2019,"Brilliant and very friendly staff. Delicious food, and interesting selection of alcohols.It's the best vegan restaurant I've been so far."
Cramped restaurant,Date of visit: September 2019,"The food was great with so many vegan options that I love to see! However, the restaurant was overcrowded and the tables far too close to one another. I know it's popular and the restaurant is small but that doesn't mean I want to be sat on top of the people next to us."
Tastes like chicken!,Date of visit: October 2019,"There is so much in the news these days about how we should be eating less meat, having meat free days and how we should all be vegetarian!Well Mildred's ticks all these boxes without climbing atop a soap box. The menu is short but varied with playful meat free options and a great fruit juice menu too.I had the Tofu Jerk Chicken even though I vowed never to eat Tofu again after a trip to China. This was excellent.Not my first visit to Mildred's and I still wish the Mushroom and Ale pie was still on the menu.Excellent quality, service and good value too. They also have an excellent salad bar for take outs"
Definitely below average,Date of visit: October 2019,"I had dinner at Mildreds and was very negatively impressed by the food.It was heavy and the taste too strong.. probably not very good quality ingredients covered with flavors.. However, service was kind."
This has gone downhill,Date of visit: September 2019,"I’ve been going to Mildred’s for years and have absolutely lobed it but my visit on Friday the 20th was very disappointing. The service was awful, I ordered an espresso martini before my pudding and it arrived 15 minutes afterwards and the staff only said the ‘bar was busy’ with no apology. The wait staff also took a long time to take our order and seemed to be going through the motions as if it was too much effort for them. The menu is not as creative as it once was. Before it show cased the best of vegetarian food and now there are one or two ‘chick’n’ options. I do not want to eat fake chicken in a vegetarian restaurant. I used to love going to Mildred’s but as ordinary restaurants have got better at veggie food they have to up their game. The skinny fries replacing the beautiful chunky chips and basil mayo was a disaster. Could have been a halloumi burger from any establishment. Very disappointing."
Happy vegans,>,Awesome!!! Some of the best vegan food I’ve ever eaten. We tried the “chicken” and the curry! Both were amazing
,,
