Title,Title_link,partial_entry,rev_wrap,Headline,Field1
"Get the salad, not the burger!",https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r741772647-By_CHLOE-London_England.html,"Went here for a quick meal with my girlfriend. Got a cool vibe but tbh I felt a little cramped when sat down. Chairs are a bit small. I got one of the salads which was really good and filling enough, the other salads I...More",Date of visit: January 2020,"Get the salad, not the burger!","Went here for a quick meal with my girlfriend. Got a cool vibe but tbh I felt a little cramped when sat down. Chairs are a bit small. I got one of the salads which was really good and filling enough, the other salads I saw dotted about looked good too. My girlfriend got a burger and I could tell when it came out It was gonna be crap and it was. Pretty poor effort especially considering the price. I’d say it needs to drop its prices though and until it does I probably won’t run back. I was reluctant to give this 4 star but considering that I really enjoyed my salad 3 felt a bit harsh."
Lunchtime visit,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r740504000-By_CHLOE-London_England.html,"Decided to pop in at lunchtime with a work friend who had been before. I had the Guac burger which had neither noticeable guac nor tortilla strips. Actually, one soggy strip at the bottom of the pack. We shared ‘half and half’ chips - sweet...More",Date of visit: January 2020,Lunchtime visit,"Decided to pop in at lunchtime with a work friend who had been before. I had the Guac burger which had neither noticeable guac nor tortilla strips. Actually, one soggy strip at the bottom of the pack. We shared ‘half and half’ chips - sweet potato and original. We waited 10 minutes for our food (which was fine) but when served, everything was luke warm if not cold. Chips were soggy. I really liked the beet ketchup and the chipotle mayo. If hot, the food might have been good. When you’re popping in for lunch, you don’t have time to take it back - you just decide not to come again."
Bwyd figanaidd blasus a iachus!,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r739648067-By_CHLOE-London_England.html,"Wedi bwyta yma 2 waith tra yn Llundain. Roedd y bwyd yn gret! Tro cynta ges i'r ""tofish and chips""ar sticky toffee pudding- roedd y ddau eitem yn wych a fe wnaethon nw helpu lot hefo ""veganuary"", yr ail dro ges i un or bowleni...More",Date of visit: January 2020,Bwyd figanaidd blasus a iachus!,"Wedi bwyta yma 2 waith tra yn Llundain. Roedd y bwyd yn gret! Tro cynta ges i'r ""tofish and chips""ar sticky toffee pudding- roedd y ddau eitem yn wych a fe wnaethon nw helpu lot hefo ""veganuary"", yr ail dro ges i un or bowleni salad roedd hwn hefyd yn flasus ac er fod na lot o ddail ro'n i'n teimlon llawn! A roedd y pasta macaroni caws yn ardderchog!Mae'r system arhchebu bwyd ychydig yn amhersonol (cael ""buzzer"" i nol y bwyd) ond mae'n gwneud pethau'n gyflum a mae'r staff bob tro'n glen iawn a'n barod i helpu!Dwi wrth fy modd efo'r seti ""swing"" wrth ymul y ffenestri"
ITS OK AND WAY TO EXPANSIVE FOR WHAT IT IS,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r739480155-By_CHLOE-London_England.html,"I ordered soup and it was very expansive for what it its. The larger size cost £7.20 and nothing was given with it. The soup was tasteless and uninteresting and couldn't understand what the price justified.

I do not recommend especially at those prices.More",Date of visit: January 2020,ITS OK AND WAY TO EXPANSIVE FOR WHAT IT IS,I ordered soup and it was very expansive for what it its. The larger size cost £7.20 and nothing was given with it. The soup was tasteless and uninteresting and couldn't understand what the price justified.I do not recommend especially at those prices.
Disappointing,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r738261356-By_CHLOE-London_England.html,"Vegan restaurant. Nice set up.
Menu is quite attractive but food lacks of taste and character. 
On the expensive side",>,Disappointing,Vegan restaurant. Nice set up.Menu is quite attractive but food lacks of taste and character. On the expensive side
Great visit,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r736861176-By_CHLOE-London_England.html,"First visit. Really enjoyed the food and Aditya was so hospitable and helped us with the wide range of choices on offer. 
He made it an especially lovely experience.",Date of visit: January 2020,Great visit,First visit. Really enjoyed the food and Aditya was so hospitable and helped us with the wide range of choices on offer. He made it an especially lovely experience.
Lovely food limited kids options tho,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r736833190-By_CHLOE-London_England.html,We were visiting the bridge theatre and we were drawn in by the neon lights I'm a veggies as it is so I'm. More than happy to eat vegan food I had the mac and cheese and it was very filling it was nice the...More,>  >  >,Lovely food limited kids options tho,We were visiting the bridge theatre and we were drawn in by the neon lights I'm a veggies as it is so I'm. More than happy to eat vegan food I had the mac and cheese and it was very filling it was nice the menu is massive and was a bit over whelmening lol I had my 7 year old with me and he had the fish and chips which he happily ate and then had a cookie as pudding the place is well decorated we found a table no problem and it's open late so we picked up some cupcakes after the show the only thing I'd say is I wish they had a kids option the fish and chips was massive maybe some nuggets and chips just something like that I did see a few powplw having the salads they looked very nice might try that of we called in again
Good vegan food - BUT PRICEY !!,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r736128643-By_CHLOE-London_England.html,"Well it was New Year’s Day needed to eat somewhere vegan so I looked this place up. Ordered the Morning Glory, didn’t really know what it was because as it says on the menu scrambled tofu, maple sausage, avocado I thought it will be a...More",Date of visit: January 2020,Good vegan food - BUT PRICEY !!,"Well it was New Year’s Day needed to eat somewhere vegan so I looked this place up. Ordered the Morning Glory, didn’t really know what it was because as it says on the menu scrambled tofu, maple sausage, avocado I thought it will be a plate of different things with bun, judging by its price of £9.00.But no it was just a burger!! I ordered the smoothie as well but the smoothie machine was broken and wouldn’t be fixed in half an hour so the server called me to offer lemonade. Which was nice and they offered to pick any Bakery items to make up the difference in price. Customer service was spot on. The guys serving at the counter are really good. I tried their matcha blueberry muffin and lemon and poppy seed muffins they were really good. So positive points. For a mere burger and a lemonade for two cost me £30. It’s was an expensive breakfast I was expecting bit more food to justify charging so much."
be back soon,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r736049101-By_CHLOE-London_England.html,"meal, though pricey, was delicious, quickly served and tasted amazing. the atmosphere and customer service were equally as good. i’m sure to return soon x",Date of visit: January 2020,be back soon,"meal, though pricey, was delicious, quickly served and tasted amazing. the atmosphere and customer service were equally as good. i’m sure to return soon x"
Great food and friendly service,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r735426427-By_CHLOE-London_England.html,"Just visited By Chloe with a friend - loved the food (the meatball pesto sub in particular was amazing) and the eco-friendly ethos. We got there late in the evening and it was quiet - but there was still a big selection of cake left,...More",Date of visit: December 2019,Great food and friendly service,"Just visited By Chloe with a friend - loved the food (the meatball pesto sub in particular was amazing) and the eco-friendly ethos. We got there late in the evening and it was quiet - but there was still a big selection of cake left, and the staff were very friendly so we didn’t feel rushed. Our server, Alexandre in particular was very friendly and understanding when we mucked up with the money. Will definitely come again to try more from the menu!"
,,,,,
Great vegan place,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r734286182-By_CHLOE-London_England.html,"Amazing vegan food, quite cheap and good service! Have been there twice and would definitely go there again.",Date of visit: December 2019,Great vegan place,"Amazing vegan food, quite cheap and good service! Have been there twice and would definitely go there again."
Under average,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r734134440-By_CHLOE-London_England.html,"What can I say, a very expensive £9 veggie burger and £4 fries!! Not the most exciting burger I've had which is veggie, also the patties are tiny! I was not blown away at all, I had to add the awesome aioli sauce to make...More",>,Under average,"What can I say, a very expensive £9 veggie burger and £4 fries!! Not the most exciting burger I've had which is veggie, also the patties are tiny! I was not blown away at all, I had to add the awesome aioli sauce to make the thing taste better.Also £4 for fries is terrible, considering they are really plain and possibly frozen. Kind of like mcdonalds chips actually.The service was ""cool"" and so were the people who work there. That's why o give 2 stars, but I'm not there for the staff..I'm there for the food.Will I come again, probably not."
Smiles all around :),https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r733041215-By_CHLOE-London_England.html,Went to the Oxford Street one and Aditya just made our day. His smile was infectious. Will be coming back here over and over. Will be looking for his smile and energy!l,Date of visit: December 2019,Smiles all around :),Went to the Oxford Street one and Aditya just made our day. His smile was infectious. Will be coming back here over and over. Will be looking for his smile and energy!l
Fantastic reception,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r732857665-By_CHLOE-London_England.html,Very clean place. The staff were lovely and friendly and made our experience very nice. Powerful toilets too 👌🏻,Date of visit: December 2019,Fantastic reception,Very clean place. The staff were lovely and friendly and made our experience very nice. Powerful toilets too
Full of flavour,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r732711662-By_CHLOE-London_England.html,"I was skeptical about this place being ""healthy"" as the menu online shows most items contain soya and the reviews say how expensive it is.

However, after my visit I have to give it full marks because there is sooooo much flavour in each dish...More",Date of visit: December 2019,Full of flavour,"I was skeptical about this place being ""healthy"" as the menu online shows most items contain soya and the reviews say how expensive it is.However, after my visit I have to give it full marks because there is sooooo much flavour in each dish we had: sweet potato fries (the best I've ever tasted), mac & cheese, fish & chips (tartar sauce is delicious), and a huge salad bowl.It is costly but worth the money. We are already looking forward to going back. It can be classed as vegan junk food, because most dishes contain processed fermented soy products. It would be nice if they had plant-based items such as burgers made from lentils or pulses."
A fantastic concept to have,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r732600003-By_CHLOE-London_England.html,"A fantastic concept to have vegan fast food available in the city. However, what vegan wants plastic cutlery? Also the food whilst plant based didn’t have the fresh quality desired to warrant more than 3 stars. Hopefully both food quality and sourcing biodegradable sustainable cutlery...More",Date of visit: December 2019,A fantastic concept to have,"A fantastic concept to have vegan fast food available in the city. However, what vegan wants plastic cutlery? Also the food whilst plant based didn’t have the fresh quality desired to warrant more than 3 stars. Hopefully both food quality and sourcing biodegradable sustainable cutlery or using good old fashioned metal reusable will improve this chain for us to choose to revisit."
Great vegan restaurant!,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r731402879-By_CHLOE-London_England.html,"Before our trip to London, I made sure to look up any vegan places to try, and found this place. We loved it. The salads are bigger than expected and taste amazing, as well does the pesto pasta. It's a very ""instagrammable"" place for all...More",Date of visit: December 2019,Great vegan restaurant!,"Before our trip to London, I made sure to look up any vegan places to try, and found this place. We loved it. The salads are bigger than expected and taste amazing, as well does the pesto pasta. It's a very ""instagrammable"" place for all the social influencers out there, with all the ""flying"" chairs hanging from the celling, cute wall and neon sign. Definitely a must, if you're looking for something tasty, vegan and filling!"
I was really enticed by the menu,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r730539520-By_CHLOE-London_England.html,"I was really enticed by the menu; love that it is all vegan!
I had the fish n chips; and was really excited about it! However the ‘mushy peas’ were in fact squashed garden peas and not mushy at all. I was really disappointed with...More",Date of visit: December 2019,I was really enticed by the menu,"I was really enticed by the menu; love that it is all vegan!I had the fish n chips; and was really excited about it! However the ‘mushy peas’ were in fact squashed garden peas and not mushy at all. I was really disappointed with the ‘fish’ because when I have had it previously it has been so delicious in other places! But here the tofu they use is so firm (and seemed to be smoked?) and the batter isn’t crispy much at all :( There are other things on the menu that are much better, im sure; but sadly not the fish n chips. Also disappointed at the amount of waste they give out - all plates and cups (although they are ‘biodegradable’) are thrown away. No reusable crockery/cutlery.I couldn’t see a compost bin anywhere to actually put the ‘biodegradable’ waste in. So landfill it is !"
All time favourite vegan restaurant,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r728003270-By_CHLOE-London_England.html,"Lost count of the amount of times I’ve eaten here, it’s my favourite restaurant in London! The Mac and cheese with shiitake bacon is the best vegan food I’ve ever eaten. You also need to try the pesto meatball sub, the cheeseburger and the banana...More",Date of visit: October 2019,All time favourite vegan restaurant,"Lost count of the amount of times I’ve eaten here, it’s my favourite restaurant in London! The Mac and cheese with shiitake bacon is the best vegan food I’ve ever eaten. You also need to try the pesto meatball sub, the cheeseburger and the banana bread. The whole menu is delicious but those are must haves every time I return. It’s expensive but as to be expected in London and the prices are so worth it for delicious, high quality vegan food. Buzzer system makes service really easy and straight forward and you’re never waiting for too long. If you’re visiting London you NEED to visit by Chloe!"
Over promised under delivered,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r727057389-By_CHLOE-London_England.html,"The restaurant looks so inviting from the outside, love the branding, love the menu style and was excited to have Sunday brunch before we left London for home.

Miserable staff who were not impressed at having to explain the ordering process, coffee that was like...More",Date of visit: November 2019,Over promised under delivered,"The restaurant looks so inviting from the outside, love the branding, love the menu style and was excited to have Sunday brunch before we left London for home.Miserable staff who were not impressed at having to explain the ordering process, coffee that was like flavoured hot water, and the food... Hmmm. Scrambled tofu 'eggs' lovely, but seasonal greens turned out to be bag salad and hardly any of it, the maple sausage was a patty not a sausage and has stayed with me for the rest of the day. Half a slice of bread and that was £9 but we decided to add avocado on for £2 extra and I'm not joking when I say it was probably less than a 1/4 of browning avocado. Not impressed. Then bearing in mind how much we had just paid for our smaller than small brunch we then had disposable cutlery... What is stainless steel not eco enough because you have to wash it?Used the loo before we left, stinking and unclean. Won't be back."
,,,,,
It's ok...,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r726980875-By_CHLOE-London_England.html,"We stopped here for a brunch as a group of 3. Looking for something tasty, warm and satisfying. The menu looks promising, with some interesting vegan alternatives to the regular 'meat or veggie' fare in Covent Garden. We went for the early bird at £9...More",Date of visit: November 2019,It's ok...,"We stopped here for a brunch as a group of 3. Looking for something tasty, warm and satisfying. The menu looks promising, with some interesting vegan alternatives to the regular 'meat or veggie' fare in Covent Garden. We went for the early bird at £9 with extra Avocado for £2. The menu states 'mixed greens' on the side. This ended up being some pittiful salad drenched in a very vinagar based dressing. The portions here are tiny for what you pay. The tofu scrambled eggs were tasty, the sausage patty was cloying and sticky, half a slice of toast and a quarter of a brown avocado (for £2 extra!!!) The food was luke warm, you he coffee was rather dull and unsatisfying. Save your money and travel to Unity Diner for a much better vegan experience. My score of two is for the devote...not including the smelly and unclean toilets. Disappointed."
Good food,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r726878109-By_CHLOE-London_England.html,"Food was good, sweet potato fries are a must!! The salad was good but not so great, overall enjoyed it.",Date of visit: November 2019,Good food,"Food was good, sweet potato fries are a must!! The salad was good but not so great, overall enjoyed it."
Don't visit if you can't have nuts!,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r725339533-By_CHLOE-London_England.html,"A year ago when we visited by Chloe, my review would have been very different, their menu was diverse and their food tasty. This time however, I can not comment on the food as we did not get an opportunity to eat here. Having spend...More",Date of visit: November 2019,Don't visit if you can't have nuts!,"A year ago when we visited by Chloe, my review would have been very different, their menu was diverse and their food tasty. This time however, I can not comment on the food as we did not get an opportunity to eat here. Having spend a good 15 minutes queuing outside in the rain, we then looked at the menu to see everything was full of nuts! There was even a sign saying if you don't like nuts don't eat here! Way to outcast any vegans with nut allergies! Bitterly disappointed with this establishment. Thankfully found another vegan restaurant down the road that turned out to be amazing."
Terrible. Don’t be fooled by its appearance!,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r722367965-By_CHLOE-London_England.html,We had walked for miles and were peckish and just wanted a coffee break. My partner saw this place around the corner and it looked really nice from the outside so I was up for it! We were excited as the entire cafes offerings were...More,Date of visit: October 2019,Terrible. Don’t be fooled by its appearance!,"We had walked for miles and were peckish and just wanted a coffee break. My partner saw this place around the corner and it looked really nice from the outside so I was up for it! We were excited as the entire cafes offerings were vegan which was amazing considering we weren’t expecting it! We ordered two cold brew coffees, a muffin and a cookie...The cold brew coffee tasted like sewage water... with no taste of coffee. It makes me gag thinking about it. You know like, funny tasting water... it tasted off! And to top it off my muffin had black hairs in it. I actually had to spit it into my napkin sat at the table which was embarrassing, it was disgusting! And not cheap let me add. I felt so bad as my boyfriend had just paid a stupid price for hideous food. We will never go back here. Clearly the hygiene standards were very low. Such a disappointment."
Awesome,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r720182274-By_CHLOE-London_England.html,I went there for the first time last week. I was pleasantly surprised to discover that the whole menu was vegan and very affordable. Cool design. Nice customer service. Awesome food. Definitely one of my favorite vegan-only place in London.,Date of visit: October 2019,Awesome,I went there for the first time last week. I was pleasantly surprised to discover that the whole menu was vegan and very affordable. Cool design. Nice customer service. Awesome food. Definitely one of my favorite vegan-only place in London.
Awesome,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r719835140-By_CHLOE-London_England.html,"We need one eat by Chloe in Paris!
Simply delicious with and very friendly staff especially Aditya and Mike!",>,Awesome,We need one eat by Chloe in Paris!Simply delicious with and very friendly staff especially Aditya and Mike!
"Average vegan ""fast food""",https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r718360295-By_CHLOE-London_England.html,"Visited by Chloe for lunch, as I had a good experience in their NY branch. I found the food a bit overpriced - the meatballs didn't taste good, and the bread was dry. You can find better vegan options in the city that are more...More",Date of visit: October 2019,"Average vegan ""fast food""","Visited by Chloe for lunch, as I had a good experience in their NY branch. I found the food a bit overpriced - the meatballs didn't taste good, and the bread was dry. You can find better vegan options in the city that are more ""healthy"" vegan."
Fabulous Vegan Food,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r718205422-By_CHLOE-London_England.html,"I visited By Chloe with a group of friends on Saturday 12th October afternoon. We had a lovely time, the food was fabulous, quick and a really good option as it suited my vegan, veggie and meat eating friends alike. I had the pesto ‘meat...More",Date of visit: October 2019,Fabulous Vegan Food,"I visited By Chloe with a group of friends on Saturday 12th October afternoon. We had a lovely time, the food was fabulous, quick and a really good option as it suited my vegan, veggie and meat eating friends alike. I had the pesto ‘meat ball’ sub and it was fabulous!The staff were friendly and the experience was lovely, I would go back for sure. Only thing is: it is a little bit cramp."
A mixed experience,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r718077081-By_CHLOE-London_England.html,"I'll start by saying that the food, once I actually got it, was really nice; my one qualm was that my guac burger contained one grey/black-ish chunk of avocado that absolutely should've been discarded rather than mixed in with the rest - but other than...More",Date of visit: October 2019,A mixed experience,"I'll start by saying that the food, once I actually got it, was really nice; my one qualm was that my guac burger contained one grey/black-ish chunk of avocado that absolutely should've been discarded rather than mixed in with the rest - but other than that, taste-wise my food was great.It was the service which, while obviously well-meaning, fell a bit short for me. Things got off to a rocky start when I ordered; as I couldn't see any combo deals on the menu, I mentioned the board I'd seen outside advertising a burger, fries, and a drink for £12.95. I asked if this deal was still available, and was told that it was - so I ordered it. As I was swiping my card, I noticed it said £15.75 rather than £12.95 - but it was too late, as my card was too close and had already registered. I asked why I was paying a different price than the one advertised outside, and the person taking my order apologised, saying that he'd put the items separately instead of in a combo - which I found surprising, considering that that's how I'd started my order, by mentioning the combo. I was asked if I'd like a cupcake or cookie as a reimbursement - but as I don't usually eat dessert I asked for an actual monetary reimbursement, which I was given.I was given a buzzer and told to wait until my order was done. So I waited. And waited. After 30 minutes of waiting, I went back to the till to ask if everything was okay - I had somewhere to go to after, and I just couldn't wait much longer. The girl who helped me (not the man who took my order) was lovely and very apologetic; my order had been standing there going cold for a very long time, but it hadn't been properly labeled, which is why my buzzer hadn't gone off. She told me to wait five more minutes while they made the order again (the original one was very cold) and gave me a cookie as compensation for the half-hour wait. Overall, I can't say I was treated badly; mistakes, when pointed out, where straightened out and apologised for, so this is not at all meant as a dig to the staff. I guess what I'm saying is to keep an eye out for mistakes, as they're very easily made. My food was nice, and nobody was rude or unfriendly - but I just can't consider almost being ripped off for £3 (a considerable percentage of the total cost) and 35 minutes of waiting around for absolutely no reason a good experience."
