Title,Title_link,partial_entry,rev_wrap,Headline,Field1
Dinner at Tibits,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r526950256-Tibits-London_England.html,"Early dinner we were there just before 6pm and the place was crowded almost to full. Big choice of salads, lovely vegan pasta with tofu, fresh apple carrot juice and overly vegan sausage roll. You must not miss their chocolate muse/fudge or whatever hot dish....More",Date of visit: September 2017,Dinner at Tibits,"Early dinner we were there just before 6pm and the place was crowded almost to full. Big choice of salads, lovely vegan pasta with tofu, fresh apple carrot juice and overly vegan sausage roll. You must not miss their chocolate muse/fudge or whatever hot dish. It was super amazing put vegan cream on top. Yum. Highly recommended."
£25 for some salad and an onion ring??,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r526852286-Tibits-London_England.html,Lovely concept and great to see more restaurants catering for vegans such as myself. However I was shocked to choose my food and then be confronted with a £25 bill for one plate of food and a drink. Food was okay but would not return...More,Date of visit: September 2017,£25 for some salad and an onion ring??,Lovely concept and great to see more restaurants catering for vegans such as myself. However I was shocked to choose my food and then be confronted with a £25 bill for one plate of food and a drink. Food was okay but would not return unless prices reduced by at least 50%. Go to Ethos instead!
Not worth it,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r526852035-Tibits-London_England.html,Very expensive for what you get and you come out STINKING of fried foods which is impossible to get rid of from your clothes. Would not return. The food is ok but not worth it.,Date of visit: September 2017,Not worth it,Very expensive for what you get and you come out STINKING of fried foods which is impossible to get rid of from your clothes. Would not return. The food is ok but not worth it.
Not that good,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r526340425-Tibits-London_England.html,"So expensive. The food was nothing special, just regular and even a little bit poor. 
Furthermore the restaurant is so impersonal,there is no contact with other people except pulling them...because its so packed",Date of visit: September 2017,Not that good,"So expensive. The food was nothing special, just regular and even a little bit poor. Furthermore the restaurant is so impersonal,there is no contact with other people except pulling them...because its so packed"
Tasty vegetarian restaurant - great location; lots of selection,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r526337294-Tibits-London_England.html,"My daughter and I ate lunch on the patio last Saturday and returned on Sunday with my brother-in-law, sister, niece and nephew.  My niece had previously discovered this restaurant and loved it.  The first Tidbits restaurant (it is a chain) opened in Switzerland in 2000...More",Date of visit: September 2017,Tasty vegetarian restaurant - great location; lots of selection,"My daughter and I ate lunch on the patio last Saturday and returned on Sunday with my brother-in-law, sister, niece and nephew. My niece had previously discovered this restaurant and loved it. The first Tidbits restaurant (it is a chain) opened in Switzerland in 2000 where my sister lives with her family.You select from a dazzling buffet and then you go and get your plate weighed. It is at this counter that you can order drinks. My daughter and I ordered lattes on the Saturday. My daughter's soy latte was made and she took our plates out to the patio table. I was waiting a bit so I asked the barista serving us if she could bring my latte out when it was done as I didn't want my food to get cold. She said that she was on her own so she couldn't do that. Then, another waitress behind the counter saw me standing there and asked if I needed a tray. I said that I was just waiting for my latte. She very kindly offered to bring my drink out when it was done which I very much appreciated. I must have chosen about 12 different things for my lunch (a little bit of this; a little bit of that!) on both days. It was really fun to try so many things!When my daughter and I ate there on Saturday, our two plates and two lattes cost 30 pounds."
Unusual format nice food friendly staff,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r526329830-Tibits-London_England.html,"I really like the concept. You find a table, take a plate and help yourself to a range of tasty dishes. Then you pay depending on the weight of the dish. No waiting, so it's great if you are on a short lunch break.

Lots...More",Date of visit: September 2017,Unusual format nice food friendly staff,"I really like the concept. You find a table, take a plate and help yourself to a range of tasty dishes. Then you pay depending on the weight of the dish. No waiting, so it's great if you are on a short lunch break.Lots of GF DF Vegan dishes to choose from, and the staff are very friendly. I wouldn't give it 5 stars as the food isn't spectacular but if I could give it 4.5 I would. I have eaten here four times already and will be back soon!"
Lovely tasty food!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r526126582-Tibits-London_England.html,"There was lots to choose from. The Falafel tasted wonderful and the buffet style restaurant offered a range of different foods/vegetable dishes to choose from.    I loved the hot lemon and ginger drink.  The cakes on the counter also looked wonderful but I didn't indulge,...More",Date of visit: September 2017,Lovely tasty food!,"There was lots to choose from. The Falafel tasted wonderful and the buffet style restaurant offered a range of different foods/vegetable dishes to choose from. I loved the hot lemon and ginger drink. The cakes on the counter also looked wonderful but I didn't indulge, I chose the strawberry cream instead and baked chocolate pudding cake for dessert. It is a chance to eat out and feel good about what your food choices. All in all had a great time and would definitely return."
May be good for Vegans,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r526055474-Tibits-London_England.html,A group of ten us visited this restaurants for dinner following a recommendation. Whilst our vegan friends loved the food we were not well in our stomachs the next day possibly because of some the oil reach selection we chose. The food was well presented...More,Date of visit: September 2017,May be good for Vegans,"A group of ten us visited this restaurants for dinner following a recommendation. Whilst our vegan friends loved the food we were not well in our stomachs the next day possibly because of some the oil reach selection we chose. The food was well presented and looks very tasty. Bearing in mind the portion size the cost of the meal did not represent good value for money. Service could improve - it took ages for the staff to remove the plates. The restaurant’s basement seemed very child friendly, which is definitely a bonus.We shall not return here but may recommend this restaurant to our vegan friends and family members."
Yum Yum Yummy Veggies,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r525659829-Tibits-London_England.html,"Tibits is a yummy vegetarian restaurant in the heart of the city.The option available are well cooked and taste amazing.The restaurant has more of salads, and with a self service option.The food is charged as per weight.

The next important point is that they have...More",Date of visit: May 2017,Yum Yum Yummy Veggies,"Tibits is a yummy vegetarian restaurant in the heart of the city.The option available are well cooked and taste amazing.The restaurant has more of salads, and with a self service option.The food is charged as per weight.The next important point is that they have a kids corner where toys, games, papers with colours are available to keep them busy while you enjoy your meal."
,,,,,
Top vegan restaurant in London,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r525100143-Tibits-London_England.html,My husband and I have recently discovered the benefits and joy of a plant-based diet. Tibits gives vegan newbies the chance to taste small portions of a wide range of vegan and vegetarian food. We liked the food but I was a bit disappointed by...More,Date of visit: September 2017,Top vegan restaurant in London,My husband and I have recently discovered the benefits and joy of a plant-based diet. Tibits gives vegan newbies the chance to taste small portions of a wide range of vegan and vegetarian food. We liked the food but I was a bit disappointed by the amount of salt in the risotto. We will definitely go back but next time I will highlight the saltiness to the manager.
Perfect for vegetarian teen,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r524942668-Tibits-London_England.html,Stopped here for lunch on a shopping trip - good location off regent street. Choose from a selection of dishes and pay by weight. My daughter thought it great to have such a variety of foods and I didn't miss meat at all. Nice wine...More,Date of visit: September 2017,Perfect for vegetarian teen,Stopped here for lunch on a shopping trip - good location off regent street. Choose from a selection of dishes and pay by weight. My daughter thought it great to have such a variety of foods and I didn't miss meat at all. Nice wine and reasonable price for the area. Will return.
"Outstanding Location, Atmosphere, and Food",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r524217640-Tibits-London_England.html,"This is a strictly vegetarian restaurant with both exotic and familiar fare (there are salads but also curried quinoa and pumpkin soufflé). You enter and pick up a plate to fill at a long buffet ""bar"" and then you pay according to how much your...More",Date of visit: September 2017,"Outstanding Location, Atmosphere, and Food","This is a strictly vegetarian restaurant with both exotic and familiar fare (there are salads but also curried quinoa and pumpkin soufflé). You enter and pick up a plate to fill at a long buffet ""bar"" and then you pay according to how much your plate weighs. You then either take out or find a place to sit either inside or out. The decor is modern, warm, and inviting with comfortable seating. The restaurant is very large and the vibe is hip and relaxing. Its location off Regent Street makes it very accessible for both tourists and natives alike. I would highly recommend Tibits."
Great lunch,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r523781270-Tibits-London_England.html,"This is a great idea for a restaurant - how much you pay is based on the weight of your plate. So if you're looking for a light lunch for a reasonable price I would definitely recommend this. However, if you want a full plate...More",Date of visit: August 2017,Great lunch,"This is a great idea for a restaurant - how much you pay is based on the weight of your plate. So if you're looking for a light lunch for a reasonable price I would definitely recommend this. However, if you want a full plate of food it is slightly pricey, but the delicious food makes it worth it. Everything available is vegetarian and mostly vegan. My dessert of sticky toffee pudding was particularly nice. Would definitely visit again if I am in the area."
Very enjoyable,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r523490358-Tibits-London_England.html,Tibits has a lot going for it. There is a main buffet which has cold as well as hot food. The dishes vary from day to day- the salads are pretty much the same. You can also select desserts from the buffet. The food is...More,Date of visit: September 2017,Very enjoyable,Tibits has a lot going for it. There is a main buffet which has cold as well as hot food. The dishes vary from day to day- the salads are pretty much the same. You can also select desserts from the buffet. The food is fresh and depending on what you choose quite good. The location is excellent off the bustle of Regent street. You can sit outside in the heated courtyard which is lovely. Your plate is weighed after you make your selection and you then pay at the till. You can also hire out this venue for a private event. All in all very well run and reasonably priced.
"Nice food, nice format, nice place - but too expensive for me to go back",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r522672110-Tibits-London_England.html,"I have visited both London branches of this restaurant: Heddon Street and Southwark Street.  Both are nicely fitted-out, have pleasant staff and an imaginative, healthy, appetising range of vegetarian dishes on offer at their self-service buffet.  But the prices are very high - even for...More",Date of visit: August 2017,"Nice food, nice format, nice place - but too expensive for me to go back","I have visited both London branches of this restaurant: Heddon Street and Southwark Street. Both are nicely fitted-out, have pleasant staff and an imaginative, healthy, appetising range of vegetarian dishes on offer at their self-service buffet. But the prices are very high - even for takeaway, which is much lower than eat-in. It's a shame."
Different and trendy,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r521959762-Tibits-London_England.html,We had never been here before so had to understand that you choose your food on a buffet-type system then pay for it based on weight.  It is vegetarian/vegan.  Service was fine and food was delicious.  Good ambiance and nice decoration.,Date of visit: September 2017,Different and trendy,We had never been here before so had to understand that you choose your food on a buffet-type system then pay for it based on weight. It is vegetarian/vegan. Service was fine and food was delicious. Good ambiance and nice decoration.
Spoilt for choice,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r521759317-Tibits-London_England.html,"With Heddon Street and Bankside now available it's hard to choose between the two units 
Great veggie food in super ambience 
Whether u get a take away or have a long lunch or leisurely alcoholic dinner doesn't matter. It works for all 
Love the fact...More",Date of visit: September 2017,Spoilt for choice,With Heddon Street and Bankside now available it's hard to choose between the two units Great veggie food in super ambience Whether u get a take away or have a long lunch or leisurely alcoholic dinner doesn't matter. It works for all Love the fact Bankside convenient for so many theatres and if course Heddon st bang in middle of town U choose your own food. And the amount. So u get nothing u don't want. Highly recommended for veggies and carnivores alike
Rip Off,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r521031609-Tibits-London_England.html,"Poor quality buffet food, cryptically overpriced, zero service. Dont see the point. The mix of food confused my mouth and is really aweful value for money. Do everyone a favour and atleast make it all-you-can-eat if your going to serve food like that. £15 for...More",Date of visit: September 2017,Rip Off,"Poor quality buffet food, cryptically overpriced, zero service. Dont see the point. The mix of food confused my mouth and is really aweful value for money. Do everyone a favour and atleast make it all-you-can-eat if your going to serve food like that. £15 for a plate of snack food, left the place still hungry."
Great place for a casual vegetarian/vegan meal,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r520811369-Tibits-London_England.html,"The buffet allows you to try a small portion of anything that strikes your fancy, and then to return for more of what you really liked.  A bit inconvenient that you have to pay each time you fill your plate, but not a huge deal....More",Date of visit: September 2017,Great place for a casual vegetarian/vegan meal,"The buffet allows you to try a small portion of anything that strikes your fancy, and then to return for more of what you really liked. A bit inconvenient that you have to pay each time you fill your plate, but not a huge deal. The lemon cake was awesome, the sticky toffee pudding and tiramisu were only fair. Overall though a nice find for a vegetarian in a city full of meat pies."
,,,,,
Delicious,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r520797806-Tibits-London_England.html,Delighted to find so many plant based options in one location.  Really enjoyed the salad selection and the hot dishes on offer.  Everything was tasty!! Will definitely return - great atmosphere and lovely outside seating area.,Date of visit: September 2017,Delicious,Delighted to find so many plant based options in one location. Really enjoyed the salad selection and the hot dishes on offer. Everything was tasty!! Will definitely return - great atmosphere and lovely outside seating area.
Overpriced & Disappointing Food,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r520701192-Tibits-London_England.html,"The restaurant looked nice & for a Soho vegetarian restaurant you expect something quirky but the weighted food system really didn't work. The food was buffet style, similar to all you can eat, but instead of paying one flat amount you have to pay for...More",Date of visit: September 2017,Overpriced & Disappointing Food,"The restaurant looked nice & for a Soho vegetarian restaurant you expect something quirky but the weighted food system really didn't work. The food was buffet style, similar to all you can eat, but instead of paying one flat amount you have to pay for exactly what's one your plate. This means you end up mixing a whole bunch of dishes onto one plate, some of them really not working well together & paying way over what you would for a buffet. A friend of mine actually spent £25 on one place of food! I would expect to pay that somewhere more up market but for a mix of mediocre dishes & self service it really isn't worth it."
Healthy+delish veggie buffet,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r520564560-Tibits-London_England.html,We went for the pay-by-weight veggie buffet. There was a wide choice of options in both vegetarian and vegan food. They also had a couple of Indian delicacies like samosas. The seating area outside was lively yet a bit secluded from the main shopping street....More,Date of visit: August 2017,Healthy+delish veggie buffet,We went for the pay-by-weight veggie buffet. There was a wide choice of options in both vegetarian and vegan food. They also had a couple of Indian delicacies like samosas. The seating area outside was lively yet a bit secluded from the main shopping street. A highly recommended place!
Perfect,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r519274462-Tibits-London_England.html,"Went for an all vegan buffet . it was fab. Huge choice. Crisp , fresh food , nice flavours , healthy but tasty sauces , great choice of desserts. 
A super place for a quick lunch or a leisurely meal with drinks . highly recommended...More",>  >,Perfect,"Went for an all vegan buffet . it was fab. Huge choice. Crisp , fresh food , nice flavours , healthy but tasty sauces , great choice of desserts. A super place for a quick lunch or a leisurely meal with drinks . highly recommended for clean foodies"
A Fun Restuarant,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r517783744-Tibits-London_England.html,I guess the main selling point is the weigh your own food. I got a standard size plate with a drink and it came to £13. My friend got a full plate with a drink and his came to £23. Therefore if your not a...More,Date of visit: July 2017,A Fun Restuarant,"I guess the main selling point is the weigh your own food. I got a standard size plate with a drink and it came to £13. My friend got a full plate with a drink and his came to £23. Therefore if your not a big eater then this could be a nice plalce to dine. The first thought is the restaurant is really nice, the plates are heavy and the choice of vegeterian food is awesome. I like that that there were lot's of new and familar items that you could mix and match to fill your plate it is definately more exciting than a standard restaurant. I liked the food all of it was tasty and would definately go again."
Great idea for a restaurant,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r516979673-Tibits-London_England.html,This veggie and vegan buffet style restaurant is pretty novel and interesting. The array off food on offer will not leave you disappointed (even as a carnivore) but the weight based method for payment means you can rack up quite a bill for something that...More,Date of visit: August 2017,Great idea for a restaurant,"This veggie and vegan buffet style restaurant is pretty novel and interesting. The array off food on offer will not leave you disappointed (even as a carnivore) but the weight based method for payment means you can rack up quite a bill for something that feels like a quite a casual dining experience. Tucked away behind Regents street, it's in a very central location but manages to hide away from the majority of bustle in that area."
Something a little different...,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r516726932-Tibits-London_England.html,"This is a really small chain of restaurants with branches dotted around Europe. It is great for vegetarian and vegan options. Lots of gluten free options too. The menu changes daily. 
Food is presented buffet style and then your plate is weighed to determine the...More",>,Something a little different...,This is a really small chain of restaurants with branches dotted around Europe. It is great for vegetarian and vegan options. Lots of gluten free options too. The menu changes daily. Food is presented buffet style and then your plate is weighed to determine the price. We had two main meals and a bottle of wine for less than £40. Quirky restaurant with a great atmosphere and friendly staff.
"Gorgeous Food, nice atmosphere, not perfect though.",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r516701287-Tibits-London_England.html,"I always love the food here, a nice selection and all very tasty but what really gripes me is the proximity of the tables. Loud shouty mates sitting opposite each other, perhaps they were both deaf but this is not the first time I've had...More",Date of visit: August 2017,"Gorgeous Food, nice atmosphere, not perfect though.","I always love the food here, a nice selection and all very tasty but what really gripes me is the proximity of the tables. Loud shouty mates sitting opposite each other, perhaps they were both deaf but this is not the first time I've had to unwillingly join guerilla gatherings. Too loud, too close, unbelievably inconsiderate and enough to prevent me from returning unless I'm also feeling in a loud mood. Also, service without a smile from all, not that it distracted from the food as I know we all have miserable days but then again, maybe it was authentic Italian hipster, don't know."
Simple and Stylish,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r516609901-Tibits-London_England.html,Popped in for take-away...really good variety of vegan food for me. It's like a cafeteria - self-service. I like it a lot!,Date of visit: June 2017,Simple and Stylish,Popped in for take-away...really good variety of vegan food for me. It's like a cafeteria - self-service. I like it a lot!
Expensive but interesting,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r516145337-Tibits-London_England.html,"A very nice small cafeteria near the South Bank, with vegetables growing by the entrance. You pay by the weight of you dish and there is a large choice of hot and cold vegetarian dishes to choose from and they are tasty. I would recommend...More",Date of visit: August 2017,Expensive but interesting,"A very nice small cafeteria near the South Bank, with vegetables growing by the entrance. You pay by the weight of you dish and there is a large choice of hot and cold vegetarian dishes to choose from and they are tasty. I would recommend it more for lunch than for dinner but it's a pleasant spot with friendly staff. The lassi was really super. The price is justified more by the ""biological"" fashion than by the ingredients, but we know that's the way nowadays..."
,,,,,
Fantastic array of delicious food,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r515106462-Tibits-London_England.html,"Comfy, spacious, relaxed restaurant with an amazing selection of (mostly vegan) food - the veggie meatballs, smoked tofu pasta, and falafel are particularly good, and the chocolate chai cream dessert is great.",Date of visit: August 2017,Fantastic array of delicious food,"Comfy, spacious, relaxed restaurant with an amazing selection of (mostly vegan) food - the veggie meatballs, smoked tofu pasta, and falafel are particularly good, and the chocolate chai cream dessert is great."
Vegetarian experience,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r513857724-Tibits-London_England.html,"We popped in on a day out for a snack. When we entered we were greeted almost immediately by a lovely member of staff, who asked if we had been before. When we said we hadn't she showed us the food and explained that the...More",Date of visit: August 2017,Vegetarian experience,"We popped in on a day out for a snack. When we entered we were greeted almost immediately by a lovely member of staff, who asked if we had been before. When we said we hadn't she showed us the food and explained that the plates are weighed for the price. The food looked and smelt gorgeous and it certainly lived up to it. All the food is clearly marked whether it was vegetarian or vegan and any allergens it contained. Reassuringly expensive but worth it!"
Excellent location,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r513838021-Tibits-London_England.html,Nice place close to Regents Street. Wide selection of vegetarian and vegan food. All vegan on Tuesday. Outside sitting.,Date of visit: August 2017,Excellent location,Nice place close to Regents Street. Wide selection of vegetarian and vegan food. All vegan on Tuesday. Outside sitting.
Avoid these place by all means,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r513438100-Tibits-London_England.html,"The place looks quite comfy and relaxed and it's good it is vegetarian and partly vegan choice , but be aware, if you can cook delicious vegetarian or vegan at home, you will be disappointed. The hot food is basically 'fast food' and the cold...More",Date of visit: August 2017,Avoid these place by all means,"The place looks quite comfy and relaxed and it's good it is vegetarian and partly vegan choice , but be aware, if you can cook delicious vegetarian or vegan at home, you will be disappointed. The hot food is basically 'fast food' and the cold dishes look nice but when mixed on your plate taste all the same watery vinegar and you might end up with upset stomach as we have experienced. If food stand there long time and I can only think what bacteria levels are when lots of people nibble the food. Also when you go to weigh your cocktail of food, it is overpriced referring to ingredients used. For a vegan desserts are dull, soya based, not a great culinarist experience. The staff knowledge about veganism is poor, and I hear that only one staff member in the whole place is vegetarian. When I ask if they prepare the food for the buffet every morning, I get the answer that only some of the dishes are cooked freshly same day. After two times disappointment, I think I really appreciate when going to traditional veggie restaurant and ordering my tasty choice plus even paying less for that. I would rather go to little restaurant where the staff has seemingly a passion for vegan or vegetarian lifestyle than have a chain experience leaving half of my food on the side."
Veggie heaven,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r512854691-Tibits-London_England.html,"First visit to Tibits today and I'll definitely be back. Most amazing array of salads, mainly vegan. Loved the help yourself buffet which meant you could choose exactly how much of everything you want. Loved the samphire salad and a spicy lentil salad was great....More",Date of visit: August 2017,Veggie heaven,"First visit to Tibits today and I'll definitely be back. Most amazing array of salads, mainly vegan. Loved the help yourself buffet which meant you could choose exactly how much of everything you want. Loved the samphire salad and a spicy lentil salad was great. Decor attractive. Probably better for lunch than dinner."
